Sea_area,Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon
동해,2000-08,23.98,33.84,5.69,,,,
동해,2000-08,24.05,33.84,5.55,0.31,0.12,1.45,12.85
동해,2000-08,24.17,33.85,5.59,0.3,0.12,1.11,12.72
동중국해,2000-08,30.56,29.01,5.79,0.07,0.12,0.77,5.07
동중국해,2000-08,24.51,32.7,4.82,,,,
동중국해,2000-08,29.08,27.72,5.53,,,,
동중국해,2000-08,29.08,27.72,5.53,,,,
동중국해,2000-08,30.75,25.75,3.4,0.11,0.04,2.07,9.51
동중국해,2000-08,28.53,28.39,3.77,,,,
동중국해,2000-08,29.78,28.48,4.09,0.4,0.05,0.78,10.05
동중국해,2000-08,29.82,29.54,4.54,,,,
동중국해,2000-08,29.81,30.7,5.19,0.02,0.02,0.79,12.53
동중국해,2000-08,29.41,30.53,4.91,,,,
동중국해,2000-08,29.08,29.4,4.77,,0.06,0.57,1.04
동중국해,2000-08,29.6,30.47,4.85,,,,
남해,2000-08,26.4,31.887,4.58,0.17,0.08,1.53,1.74
동중국해,2000-08,29.65,28.88,4.88,0.4,0.14,5.96,13.6
남해,2000-08,27.88,31.867,4.59,,,,
동해,2000-08,23.48,33.62,5.19,0.35,0.14,0.82,10.11
동중국해,2000-08,30.1,32.69,4.43,,,,
동해,2000-08,23.53,33.62,5.17,0.39,0.13,0.73,10.82
동해,2000-08,23.77,33.62,5.33,,,,
남해,2000-08,28.1,32.046,4.44,0.06,0.35,2.73,1.08
남해,2000-08,28.23,32.161,4.79,,,,
동해,2000-08,23.08,33.8,5.46,0.34,0.07,0.98,10.87
동중국해,2000-08,29.87,32.17,4.6,,,,
남해,2000-08,28.23,32.161,4.79,,,,
동해,2000-08,22.72,33.61,5.62,,,,
동중국해,2000-08,29.88,31.83,4.71,0.18,0.05,0.1,0.47
남해,2000-08,28.45,32.893,4.34,0.05,0.11,2.25,0.74
동해,2000-08,22.09,33.29,5.56,0.16,0.07,0.88,15.51
동중국해,2000-08,29.98,31.43,4.77,,,,
남해,2000-08,28.6,32.415,4.45,,,,
동중국해,2000-08,29.15,29.92,4.82,0.98,0.22,0.03,1.01
동해,2000-08,22.2,33.29,5.61,,,,
남해,2000-08,28.6,32.472,4.65,0.05,0.16,1.91,0.89
동해,2000-08,22.72,33.43,5.74,0.1,0.13,0.42,16.25
남해,2000-08,29.02,30.752,4.91,,,,
남해,2000-08,28.31,31.527,4.69,0.08,0.1,1.59,1.24
동해,2000-08,22.75,33.72,5.52,,,,
남해,2000-08,28.12,31.253,4.44,,,,
동중국해,2000-08,29.52,29.89,5.05,,,,
동해,2000-08,22.69,33.49,5.68,0.18,0.13,1.59,18.7
남해,2000-08,28.3,31.423,4.36,0.07,0.14,1.54,2.16
동해,2000-08,22.73,33.4,5.65,,,,
남해,2000-08,28.1,30.967,4.64,,,,
남해,2000-08,27.61,31.184,4.56,0.08,0.03,3.18,1.92
동해,2000-08,23.82,33.4,5.53,0.19,0.16,0.85,17.05
남해,2000-08,27.89,31.42,4.69,,,,
동해,2000-08,24.27,33.43,5.67,,,,
남해,2000-08,27.77,31.254,4.59,0.06,0.12,2.05,2.97
동해,2000-08,24.79,33.48,5.55,,,,
남해,2000-08,28.05,31.08,4.56,,,,
동중국해,2000-08,29.7,27.42,4.88,0.08,0.02,0.15,3.98
남해,2000-08,28.0,31.488000000000003,4.67,0.12,0.07,1.63,2.97
동해,2000-08,23.97,33.44,5.52,0.12,0.09,0.56,16.58
남해,2000-08,28.1,31.446,4.9,,,,
동중국해,2000-08,29.7,30.57,4.71,,,,
동해,2000-08,23.07,33.41,5.59,,,,
남해,2000-08,28.25,31.438,4.98,0.1,0.07,1.91,3.14
동중국해,2000-08,30.08,26.74,4.82,0.04,0.06,0.1,4.78
남해,2000-08,28.39,31.259,4.63,,,,
동해,2000-08,23.41,33.48,5.55,0.15,0.06,0.48,18.46
동중국해,2000-08,29.69,26.84,5.05,,,,
남해,2000-08,28.8,31.041,4.97,0.18,0.07,1.83,1.35
남해,2000-08,28.7,31.012,4.88,,,,
동해,2000-08,23.36,33.41,5.48,,,,
동중국해,2000-08,30.51,25.3,4.34,0.56,0.14,5.47,8.0
동해,2000-08,23.5,33.25,5.5,0.21,0.1,0.5,15.63
동중국해,2000-08,28.45,25.67,5.14,,,,
동해,2000-08,23.11,33.3,5.4,,,,
동해,2000-08,22.96,33.37,5.14,0.24,0.08,0.76,15.79
동해,2000-08,22.92,33.65,5.22,,,,
동해,2000-08,22.47,33.43,4.8,,,,
동해,2000-08,22.05,33.44,4.81,0.22,0.26,0.6,15.95
동해,2000-08,22.47,33.43,4.8,,,,
동해,2000-08,22.09,33.44,4.84,0.23,0.25,0.77,15.84
남해,2000-08,28.25,31.254,4.91,0.17,0.12,1.15,2.68
남해,2000-08,28.4,31.076,4.84,,,,
남해,2000-08,27.95,31.668000000000006,4.94,0.08,0.21,3.12,5.2
남해,2000-08,24.28,32.215,5.15,,,,
서해,2000-08,22.22,31.475,5.03,0.11,1.33,5.07,6.45
서해,2000-08,27.07,31.657,,,,,
서해,2000-08,26.91,31.867,4.72,0.16,0.01,0.1,4.47
서해,2000-08,23.71,31.724,,,,,
서해,2000-08,24.72,31.666,4.71,0.09,2.13,3.16,6.13
남해,2000-08,24.89,32.316,5.08,,,,
남해,2000-08,25.51,32.298,5.13,,,,
서해,2000-08,24.35,31.673,,,,,
동해,2000-08,21.25,33.27,4.63,0.33,0.17,0.25,16.55
동해,2000-08,23.52,33.44,4.59,0.31,0.15,0.24,16.53
동해,2000-08,23.33,33.49,4.57,,,,
서해,2000-08,25.84,31.311,4.89,0.01,0.11,0.18,6.35
동해,2000-08,23.52,33.44,4.59,0.31,0.15,0.24,16.53
서해,2000-08,26.94,31.976,,,,,
동해,2000-08,23.83,33.43,4.63,,,,
서해,2000-08,26.87,31.882,4.4,0.13,1.31,4.06,5.88
동해,2000-08,23.64,33.63,4.72,0.15,0.03,0.34,18.22
서해,2000-08,27.55,31.934,4.65,,,,
동해,2000-08,25.86,32.89,5.17,,,,
동해,2000-08,25.57,32.7,5.16,0.2,0.1,0.48,18.03
서해,2000-08,27.39,31.919,4.55,,,,
서해,2000-08,27.39,31.999,4.66,0.06,0.01,0.09,5.41
동해,2000-08,24.93,32.43,5.21,,,,
동해,2000-08,24.25,32.58,5.18,0.19,0.16,0.88,17.48
동해,2000-08,26.51,32.09,5.13,,,,
서해,2000-08,26.49,32.056999999999995,,,,,
서해,2000-08,26.31,31.993,4.72,0.35,0.32,0.33,3.14
서해,2000-08,26.32,31.977,,,,,
동해,2000-08,26.16,32.07,5.13,0.26,0.13,0.53,17.12
서해,2000-08,25.87,31.896,5.26,,0.03,0.13,2.2
동해,2000-08,23.27,33.23,5.19,,,,
서해,2000-08,24.41,30.821,,,,,
서해,2000-08,24.38,31.281,5.82,0.04,1.6,3.84,5.65
동해,2000-08,24.27,33.32,5.14,0.28,0.02,0.98,18.83
동해,2000-08,23.87,33.54,5.18,,,,
동해,2000-08,24.04,33.38,5.14,0.38,0.13,2.12,21.5
동해,2000-08,23.66,32.89,5.15,,,,
동해,2000-08,24.25,32.53,5.18,0.35,0.14,2.12,21.44
동해,2000-08,23.73,33.1,5.11,0.35,0.08,1.18,21.4
동해,2000-08,23.92,32.94,5.07,,,,
동해,2000-08,24.2,33.06,5.04,0.33,0.06,1.16,21.44
동해,2000-08,24.62,33.01,5.04,,,,
동해,2000-08,22.26,33.05,5.11,0.26,0.08,0.92,17.55
동해,2000-08,23.08,33.38,5.15,,,,
동해,2000-08,28.25,31.86,4.39,,,,
동해,2000-08,26.9,31.82,4.6,0.26,0.19,0.88,17.3
동해,2000-08,26.1,31.82,4.55,,,,
동해,2000-08,26.12,31.8,5.04,0.32,0.24,1.33,17.24
서해,2000-08,26.75,30.183000000000003,5.1,0.02,1.27,2.11,5.78
서해,2000-08,25.53,32.012,,,,,
서해,2000-08,27.11,32.053000000000004,4.97,0.26,1.09,0.26,1.67
서해,2000-08,27.36,31.991,,,,,
서해,2000-08,27.45,31.937,4.62,0.15,0.01,0.2,2.31
서해,2000-08,27.57,31.958,,,,,
서해,2000-08,27.57,31.983,4.7,0.25,0.01,0.1,3.68
서해,2000-08,27.72,32.116,,,,,
서해,2000-08,27.77,32.062,4.87,0.05,0.09,0.18,6.06
서해,2000-08,28.02,31.72,4.47,,,,
서해,2000-08,28.05,31.93,4.4,,,,
서해,2000-08,28.0,31.914,4.62,0.18,0.45,0.08,4.45
서해,2000-08,27.85,32.043,,,,,
서해,2000-08,27.74,31.981,5.85,0.01,0.34,,1.39
서해,2000-08,27.27,32.103,,,,,
서해,2000-08,27.03,32.105,5.02,0.12,0.01,0.07,1.11
서해,2000-08,27.86,32.089,,,,,
서해,2000-08,26.46,32.046,6.38,,0.85,0.39,6.01
서해,2000-08,20.42,32.353,5.93,0.02,1.82,1.66,6.01
서해,2000-08,22.71,32.383,,,,,
서해,2000-08,27.88,31.876,,,,,
서해,2000-08,29.23,31.515,4.27,0.04,0.02,0.01,4.14
서해,2000-08,24.06,32.484,,,,,
서해,2000-08,27.48,31.943,4.6,0.01,0.08,0.18,5.54
서해,2000-08,28.15,31.427,,,,,
서해,2000-08,28.55,31.268,4.58,0.29,0.06,0.1,3.99
서해,2000-08,28.79,31.241,,,,,
서해,2000-08,28.94,29.298,4.63,0.07,0.09,0.07,4.72
서해,2000-08,28.75,30.029,4.62,,,,
서해,2000-08,28.03,32.198,4.64,,,,
서해,2000-08,28.07,32.273,4.74,0.31,1.97,0.94,4.63
서해,2000-08,28.39,31.985,,,,,
서해,2000-08,28.43,31.985,4.33,0.01,0.69,0.22,4.87
서해,2000-08,22.04,32.449,,,,,
동해,2000-08,24.43,33.79,,,,,
동해,2000-08,25.52,32.94,,,,,
동해,2000-08,25.17,33.26,,,,,
동해,2000-08,25.99,33.76,,,,,
동해,2000-08,25.41,34.12,,,,,
동해,2000-08,25.65,33.91,,,,,
동해,2000-08,25.87,33.43,,,,,
동해,2000-08,25.99,33.57,,,,,
동해,2000-08,27.26,32.25,,,,,
동해,2000-08,25.88,33.71,,,,,
동해,2000-08,26.48,33.25,,,,,
동해,2000-08,26.66,32.64,,,,,
동해,2000-08,26.33,33.04,,,,,
동해,2000-08,27.26,32.25,,,,,
동해,2000-08,24.18,33.12,,,,,
동해,2000-08,25.74,33.16,,,,,
동해,2000-08,27.11,31.84,,,,,
남해,2001-08,26.64,31.09,4.92,,,,
남해,2001-08,25.12,32.02,4.96,,,,
남해,2001-08,25.39,32.15,4.32,0.16,0.11,1.1,14.89
남해,2001-08,26.05,32.05,5.39,,,,
남해,2001-08,24.73,31.91,5.15,,,,
남해,2001-08,26.68,30.42,5.69,0.08,0.1,0.99,9.3
남해,2001-08,28.29,31.5,4.56,,,,
남해,2001-08,28.22,31.9,4.93,,,,
남해,2001-08,28.73,31.68,4.89,,,,
남해,2001-08,28.52,30.08,4.5,,,,
남해,2001-08,24.43,31.9,5.02,,,,
남해,2001-08,25.29,32.07,5.37,,,,
남해,2001-08,24.3,32.15,5.13,,,,
남해,2001-08,24.04,32.2,5.08,,,,
남해,2001-08,26.52,30.56,5.1,,,,
남해,2001-08,29.33,29.98,4.46,,,,
남해,2001-08,29.27,29.63,4.28,,,,
서해,2001-08,21.17,31.51,5.02,0.41,0.56,3.36,2.37
서해,2001-08,26.47,31.22,,,,,
서해,2001-08,26.83,31.83,4.8,0.18,0.14,0.3,0.79
서해,2001-08,28.03,31.93,,,,,
서해,2001-08,27.89,31.32,4.62,0.16,0.13,0.47,0.49
서해,2001-08,27.36,31.3,,,,,
서해,2001-08,27.42,30.28,4.7,0.15,0.12,0.55,0.59
서해,2001-08,26.37,31.45,5.06,,,,
서해,2001-08,27.47,31.16,4.75,,,,
서해,2001-08,27.68,31.75,4.53,0.17,0.25,1.06,0.93
서해,2001-08,27.86,31.73,,,,,
서해,2001-08,27.42,31.639,4.61,0.28,0.11,0.69,1.39
남해,2001-08,28.11,31.27,4.69,,,,
서해,2001-08,27.56,31.83,,,,,
남해,2001-08,27.61,31.7,4.25,,,,
서해,2001-08,27.93,31.87,4.64,0.07,0.13,0.34,0.36
서해,2001-08,27.91,32.2,,,,,
남해,2001-08,28.14,31.48,4.85,,,,
서해,2001-08,26.4,31.226,5.09,0.17,0.14,0.36,1.43
남해,2001-08,30.0,30.05,4.76,,,,
서해,2001-08,27.16,31.27,,,,,
서해,2001-08,26.69,30.93,5.07,0.17,0.14,0.48,2.93
남해,2001-08,30.33,31.21,4.31,,,,
남해,2001-08,30.28,29.79,4.52,,,,
남해,2001-08,30.31,30.67,4.49,,,,
남해,2001-08,30.8,29.29,4.15,,,,
남해,2001-08,30.26,28.51,4.36,,,,
남해,2001-08,30.2,28.41,4.76,,,,
남해,2001-08,29.97,28.7,4.46,,,,
남해,2001-08,29.73,28.73,4.62,,,,
남해,2001-08,29.04,29.32,5.54,,,,
남해,2001-08,28.92,30.72,5.38,,,,
남해,2001-08,29.1,30.42,5.42,,,,
남해,2001-08,28.54,30.72,4.54,,,,
남해,2001-08,29.74,29.17,4.98,,,,
남해,2001-08,29.73,29.77,4.77,,,,
서해,2001-08,27.87,29.32,5.59,0.21,0.16,0.49,1.18
남해,2001-08,29.87,29.69,4.91,0.09,0.09,2.27,3.76
서해,2001-08,26.52,30.69,,,,,
남해,2001-08,29.9,28.96,4.91,,,,
남해,2001-08,30.5,29.33,4.97,,,,
서해,2001-08,28.0,31.21,4.51,0.3,0.11,0.54,1.54
남해,2001-08,30.09,29.61,4.93,,,,
남해,2001-08,29.83,29.15,4.89,,,,
남해,2001-08,29.61,29.9,5.52,,,,
서해,2001-08,27.92,31.62,,,,,
남해,2001-08,21.14,31.99,5.61,,,,
서해,2001-08,28.19,32.23,4.41,0.19,0.16,0.47,0.81
남해,2001-08,20.55,32.33,5.61,,,,
서해,2001-08,28.21,32.22,,,,,
서해,2001-08,27.98,31.91,4.57,0.17,0.13,0.67,0.75
서해,2001-08,28.09,31.69,,,,,
서해,2001-08,28.3,31.59,4.52,0.18,0.32,0.43,1.05
서해,2001-08,28.13,31.46,4.48,,,,
서해,2001-08,28.21,31.65,4.54,,,,
서해,2001-08,28.29,31.5,4.56,,,,
서해,2001-08,28.33,31.73,,,,,
서해,2001-08,28.32,31.66,4.46,,,,
서해,2001-08,28.3,31.6,,,,,
서해,2001-08,27.32,31.384,5.45,,,,
서해,2001-08,28.61,30.66,,,,,
서해,2001-08,27.32,31.38,5.45,,,,
서해,2001-08,27.32,31.384,5.45,,,,
남해,2001-08,23.97,32.11,5.62,,,,
남해,2001-08,25.43,32.28,5.32,,,,
서해,2001-08,23.45,31.23,,,,,
서해,2001-08,26.34,30.63,5.3,0.31,0.06,0.4,1.49
서해,2001-08,27.52,30.04,,,,,
서해,2001-08,29.13,30.3,4.57,,,,
서해,2001-08,28.68,30.5,,,,,
서해,2001-08,28.71,30.66,4.46,0.21,0.22,0.22,0.47
서해,2001-08,28.58,31.32,4.43,,,,
서해,2001-08,28.98,29.37,4.47,,,,
서해,2001-08,28.84,29.33,4.42,,,,
서해,2001-08,28.72,29.55,,,,,
서해,2001-08,28.51,29.95,4.78,,,,
서해,2001-08,25.74,29.32,,,,,
서해,2001-08,24.07,30.85,5.42,,,,
서해,2001-08,22.83,30.95,,,,,
서해,2001-08,23.04,30.92,5.83,,,,
서해,2001-08,23.21,31.13,,,,,
동중국해,2001-08,28.69,28.11,6.41,,,,
동중국해,2001-08,28.32,28.14,6.2,,,,
동중국해,2001-08,28.46,28.46,5.25,,,,
동중국해,2001-08,26.68,29.51,5.63,,,,
동해,2001-08,22.87,32.59,5.17,,,,
동해,2001-08,22.66,32.89,5.21,,,,
동해,2001-08,23.76,33.32,4.75,0.32,0.18,10.45,0.02
동해,2001-08,24.73,32.98,4.59,,,,
동해,2001-08,24.27,33.01,4.86,0.33,0.03,10.05,0.41
동해,2001-08,26.32,33.32,4.57,,,,
동해,2001-08,25.72,33.94,4.49,0.11,0.08,12.25,0.22
동해,2001-08,25.72,33.94,4.49,0.11,0.08,12.25,0.22
동해,2001-08,25.53,33.68,4.68,0.05,0.16,9.38,0.14
동해,2001-08,25.02,33.35,4.57,,,,
동해,2001-08,24.5,32.63,4.77,0.1,0.01,10.05,0.33
동해,2001-08,25.7,33.67,4.34,,,,
동해,2001-08,25.97,33.93,4.43,0.44,0.11,10.7,1.21
동해,2001-08,26.98,33.61,4.98,,,,
동해,2001-08,26.7,33.05,4.58,,,,
동해,2001-08,26.46,32.55,4.64,,,,
동해,2001-08,25.7,32.47,4.82,0.39,0.08,10.17,0.29
동해,2001-08,24.96,32.05,5.16,0.05,0.08,0.15,4.14
동중국해,2001-08,30.15,32.3,5.21,,,,
동중국해,2001-08,29.63,26.42,5.53,,,,
동중국해,2001-08,29.66,28.26,5.14,,,,
동중국해,2001-08,28.74,27.45,5.34,,,,
동중국해,2001-08,28.2,27.57,5.37,,,,
동중국해,2001-08,28.3,27.01,5.69,,,,
동중국해,2001-08,28.69,28.11,6.41,,,,
동중국해,2001-08,28.32,28.14,6.2,,,,
동중국해,2001-08,28.46,28.46,5.25,,,,
동중국해,2001-08,26.68,29.51,5.63,,,,
동중국해,2001-08,28.5,30.89,6.12,,,,
동중국해,2001-08,28.98,29.78,5.28,,,,
동해,2001-08,26.35,31.97,4.42,0.11,0.11,0.23,7.91
동해,2001-08,26.33,32.03,4.49,0.04,0.1,8.2,0.16
동해,2001-08,26.68,32.58,4.54,,,,
동해,2001-08,25.55,32.6,4.68,0.2,0.05,5.96,0.51
동해,2001-08,27.14,32.6,4.8,,,,
동해,2001-08,28.31,32.88,4.27,0.46,0.12,5.99,0.05
동해,2001-08,28.12,32.92,4.63,,,,
동해,2001-08,25.7,33.01,4.64,0.25,0.04,5.54,0.34
동해,2001-08,26.34,33.48,4.39,,,,
동중국해,2001-08,28.48,33.13,5.01,,,,
동중국해,2001-08,28.39,29.63,5.43,,,,
동중국해,2001-08,29.22,32.95,5.01,,,,
동중국해,2001-08,29.0,32.17,5.57,,,,
동중국해,2001-08,28.27,29.97,5.08,,,,
동중국해,2001-08,28.97,32.15,5.37,,,,
동중국해,2001-08,29.26,32.12,5.4,,,,
동해,2001-08,26.02,33.48,4.36,0.19,0.1,7.54,0.24
동중국해,2001-08,29.24,32.07,5.25,,,,
동중국해,2001-08,28.91,31.67,5.2,,,,
동해,2001-08,26.6,33.51,4.32,,,,
동중국해,2001-08,28.84,31.02,5.43,,,,
동해,2001-08,27.14,33.22,4.4,0.06,0.01,0.44,8.87
동중국해,2001-08,28.84,30.57,5.24,,,,
동해,2001-08,27.27,32.88,4.45,,,,
동중국해,2001-08,29.15,32.14,5.37,,,,
동해,2001-08,26.64,32.84,4.41,,,,
동중국해,2001-08,29.56,32.94,5.17,,,,
동해,2001-08,27.72,32.84,4.43,0.05,0.03,0.46,1.86
동중국해,2001-08,29.37,33.27,5.05,,,,
동해,2001-08,27.98,33.26,4.39,,,,
동중국해,2001-08,27.75,31.53,5.17,,,,
동중국해,2001-08,28.5,30.89,6.12,,,,
동해,2001-08,27.93,33.37,4.48,0.28,0.09,5.25,0.77
동중국해,2001-08,29.04,29.49,6.4,,,,
동중국해,2001-08,28.98,29.78,5.28,,,,
동중국해,2001-08,29.02,29.64,5.05,,,,
동해,2001-08,28.07,33.17,4.34,,,,
동중국해,2001-08,28.61,30.01,5.97,,,,
동해,2001-08,27.87,33.09,4.41,0.32,0.04,5.4,0.11
동중국해,2001-08,29.14,30.63,5.14,,,,
동중국해,2001-08,28.39,29.63,5.43,,,,
동해,2001-08,26.66,32.67,4.36,,,,
동중국해,2001-08,28.27,29.97,5.08,,,,
동해,2001-08,26.2,32.56,4.44,0.28,0.17,6.39,0.18
동해,2001-08,26.2,32.37,4.63,,,,
동해,2001-08,25.67,32.39,4.58,0.36,0.04,4.32,0.22
동해,2001-08,26.34,32.38,4.62,,,,
동해,2001-08,26.5,31.76,4.58,0.28,0.08,0.48,4.85
동해,2001-08,26.82,31.54,4.58,0.31,0.09,0.31,5.11
동해,2001-08,26.81,32.44,4.59,,,,
동해,2001-08,26.71,32.54,4.41,0.26,0.07,5.26,0.27
동해,2001-08,27.15,32.67,4.27,,,,
동해,2001-08,27.15,32.62,4.2,0.23,0.05,4.38,0.17
동해,2001-08,27.62,32.8,4.22,,,,
동해,2001-08,27.73,32.86,4.55,0.38,0.13,7.02,0.2
동해,2001-08,27.65,32.95,4.27,,,,
동해,2001-08,28.01,33.13,4.3,0.32,0.05,7.5,0.35
동해,2001-08,27.53,32.77,4.42,,,,
동해,2001-08,27.42,32.51,4.63,0.28,0.22,6.03,0.41
동해,2001-08,27.32,32.53,4.74,,,,
동해,2001-08,27.43,32.48,4.98,0.3,0.05,4.91,0.02
동해,2001-08,27.03,32.31,5.01,,,,
동해,2001-08,25.87,32.35,5.06,0.47,0.02,10.89,0.3
동해,2001-08,25.93,32.26,4.21,,,,
동해,2001-08,26.17,31.55,4.25,,,,
동해,2001-08,25.99,31.19,5.08,,,,
동해,2001-08,26.19,32.14,5.18,,,,
동해,2001-08,26.38,32.23,4.69,0.22,0.23,3.79,0.24
동해,2001-08,26.47,32.49,4.95,,,,
동해,2001-08,25.95,32.58,4.6,0.22,0.29,5.49,0.37
동해,2001-08,26.11,32.58,,,,,
동해,2001-08,26.18,31.81,4.82,,,,
동해,2001-08,26.48,31.96,4.85,0.57,0.38,6.18,0.17
동해,2001-08,26.38,32.18,4.49,,,,
동해,2001-08,25.65,32.41,4.65,0.31,0.37,5.5,0.57
남해,2002-08,22.43,32.285,6.26,0.26,0.49,7.11,7.66
남해,2002-08,24.64,32.695,4.93,,,,
남해,2002-08,23.95,32.711,4.87,0.1,0.09,2.47,5.41
남해,2002-08,25.23,32.989000000000004,4.86,0.1,0.06,3.6,4.14
남해,2002-08,24.61,32.77,5.08,,,,
남해,2002-08,24.31,32.825,5.02,0.08,0.05,3.37,4.34
남해,2002-08,24.04,32.296,5.08,0.16,0.06,3.36,6.51
남해,2002-08,23.01,32.376,5.26,,,,
남해,2002-08,24.24,32.443000000000005,5.11,,,,
남해,2002-08,24.89,32.859,4.84,0.41,0.07,3.51,4.64
남해,2002-08,24.93,32.962,5.03,,,,
남해,2002-08,25.42,32.86,4.99,,,,
남해,2002-08,25.17,33.504,5.03,,,,
남해,2002-08,24.96,33.671,4.9,0.06,0.07,3.48,4.47
남해,2002-08,24.93,32.962,5.03,,,,
남해,2002-08,25.33,32.993,4.81,0.03,0.22,6.67,4.23
남해,2002-08,24.34,32.364000000000004,5.01,,,,
남해,2002-08,24.42,32.114000000000004,5.3,0.12,0.24,7.95,9.69
남해,2002-08,23.48,32.273,5.42,,,,
남해,2002-08,23.85,32.244,5.31,0.11,0.29,6.2,6.89
남해,2002-08,23.21,32.208,5.75,,,,
남해,2002-08,24.44,31.675,5.26,0.01,0.07,3.22,8.54
남해,2002-08,24.59,31.884,5.36,,,,
남해,2002-08,24.49,32.568000000000005,5.1,0.03,0.09,3.29,6.95
남해,2002-08,26.28,33.361999999999995,4.78,0.1,0.26,3.66,4.03
남해,2002-08,24.72,32.437,5.09,,,,
남해,2002-08,25.38,32.67,5.26,0.05,0.1,4.2,5.28
남해,2002-08,25.13,32.699,5.39,,,,
남해,2002-08,28.18,34.376,4.72,0.2,0.13,3.16,4.67
남해,2002-08,27.61,33.67,4.79,,,,
남해,2002-08,26.82,33.287,4.9,0.03,0.13,2.49,4.41
남해,2002-08,27.75,32.469,4.98,,,,
남해,2002-08,27.5,32.268,5.21,0.12,0.1,4.41,5.64
남해,2002-08,27.59,32.356,4.66,,,,
남해,2002-08,28.14,30.747,4.58,0.04,0.08,3.78,8.05
남해,2002-08,28.57,29.608,4.73,,,,
남해,2002-08,28.54,29.495,4.45,0.02,0.18,5.84,6.41
남해,2002-08,28.04,30.63,4.48,,,,
남해,2002-08,27.34,30.346,4.95,,,,
남해,2002-08,27.32,30.23,4.58,0.03,0.08,4.36,7.33
남해,2002-08,27.36,30.537,4.93,,,,
남해,2002-08,27.63,30.492,4.77,0.01,0.1,,5.23
남해,2002-08,28.13,30.126,4.94,,,,
남해,2002-08,27.3,30.154,4.79,0.05,0.12,2.12,5.85
남해,2002-08,28.38,30.152,4.6,,,,
남해,2002-08,26.34,30.9,5.08,0.01,0.12,4.29,6.36
남해,2002-08,26.78,31.947,4.49,,,,
남해,2002-08,24.78,30.501,4.94,0.07,0.35,2.12,6.73
서해,2002-08,20.58,31.482,5.04,0.39,0.66,5.17,5.06
남해,2002-08,24.29,30.362,4.71,,,,
남해,2002-08,21.36,31.488000000000003,4.6,0.14,0.2,6.22,7.19
서해,2002-08,22.47,31.652,,,,,
