Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,On/Off
2000-04-20,9.74,32.628,7.99,0.58,0.24,1.19,3.78,0
2000-04-20,9.45,32.644,7.62,,,,,0
2000-04-20,9.34,32.629,7.31,0.52,0.3,3.09,8.45,0
2000-04-20,8.35,32.491,7.19,,,,,0
2000-04-24,14.39,34.56,5.97,0.22,0.38,5.08,20.68,0
2000-04-24,14.5,34.52,5.94,,,,,0
2000-04-24,10.39,32.128,6.68,0.65,0.48,6.97,6.86,0
2000-04-24,9.93,32.546,7.79,,,,,0
2000-04-24,9.22,32.417,7.36,,,,,0
2000-04-24,9.92,32.523,7.99,0.44,0.35,0.78,0.44,0
2000-04-24,14.87,34.55,5.93,,,,,0
2000-04-24,9.93,32.546,7.79,,,,,0
2000-04-24,14.41,34.46,6.17,0.24,0.32,5.84,21.01,0
2000-04-24,9.87,32.554,7.67,0.37,0.27,0.2,0.41,0
2000-04-24,12.63,34.21,6.13,,,,,0
2000-04-24,10.05,32.562,7.47,,,,,0
2000-04-24,11.75,34.18,6.27,0.21,0.32,6.11,20.81,0
2000-04-24,10.13,32.528,7.25,0.34,0.35,0.32,2.38,0
2000-04-24,9.88,32.504,7.03,,,,,0
2000-04-25,9.35,32.444,7.14,,,,,0
2000-04-25,9.37,32.456,7.34,0.32,0.49,0.32,1.11,0
2000-04-25,9.28,32.473,7.18,,,,,0
2000-04-25,9.17,32.471,7.05,0.54,0.21,0.1,1.67,0
2000-04-25,8.72,32.459,7.25,,,,,0
2000-04-25,9.05,32.417,7.4,0.43,0.64,0.4,0.43,0
2000-04-25,8.44,32.379,7.53,,,,,0
2000-04-25,7.87,32.16,7.68,0.72,0.59,1.34,0.87,0
2000-04-25,8.14,31.868,7.46,,,,,0
2000-04-25,8.8,31.737,7.47,0.6,0.28,0.62,0.63,0
2000-04-28,8.7,31.705,7.78,0.58,1.06,3.59,1.47,0
2000-04-28,8.7,31.763,7.67,,,,,0
2000-04-28,8.64,31.916,7.65,0.7,0.33,1.61,0.98,0
2000-04-28,8.34,32.048,7.38,,,,,0
2000-04-28,9.32,32.283,7.07,0.43,0.24,0.4,0.57,0
2000-04-28,9.64,32.312,7.04,,,,,0
2000-04-28,10.21,32.368,6.97,0.53,0.71,0.34,1.43,0
2000-04-28,9.55,32.386,6.98,,,,,0
2000-04-28,9.92,32.41,6.98,0.35,0.35,0.29,4.65,0
2000-04-28,10.79,32.452,7.14,,,,,0
2000-04-28,9.46,32.364000000000004,7.21,,,,,0
2000-04-28,9.47,32.388000000000005,6.98,0.58,,0.62,3.44,0
2000-04-28,9.43,32.318000000000005,7.09,,,,,0
2000-04-29,9.14,32.083,7.24,0.29,0.92,0.75,0.41,0
2000-04-29,9.31,32.0,7.45,,,,,0
2000-04-29,9.18,31.875,7.71,0.39,0.23,0.87,0.3,0
2000-04-29,8.47,31.601,7.53,,,,,0
2000-04-29,7.88,31.493,7.2,0.96,2.22,9.72,4.59,0
2000-05-23,20.84,33.7,5.12,0.31,1.32,,5.05,0
2000-05-23,20.93,99.999,5.35,,,,,0
2000-05-23,19.22,32.97,6.84,0.89,2.36,,6.68,0
2000-05-23,20.94,99.999,5.43,,,,,0
2000-05-23,20.89,32.68,5.83,0.17,0.91,,5.53,0
2000-05-23,21.63,99.999,5.61,,,,,0
2000-05-23,21.45,32.54,5.61,0.13,2.97,,6.2,0
2000-05-23,20.79,99.999,5.69,,,,,0
2000-05-23,19.89,28.4,6.58,0.01,4.91,,7.7,0
2000-05-23,18.83,99.999,6.26,,,,,0
2000-05-24,18.93,99.999,5.75,,,,,0
2000-05-24,20.17,29.28,5.61,0.12,5.72,,9.64,0
2000-05-24,19.41,99.999,5.81,,,,,0
2000-05-24,20.11,33.11,5.55,0.24,1.01,,6.89,0
2000-05-24,20.74,99.999,5.46,,,,,0
2000-05-24,20.5,32.87,5.61,0.57,1.29,,6.71,0
2000-05-24,20.22,99.999,5.58,,,,,0
2000-05-24,20.62,33.06,5.61,0.53,2.1,,8.24,0
2000-05-24,21.25,99.999,5.43,,,,,0
2000-05-25,19.65,33.7,5.58,0.53,0.85,,5.09,0
2000-05-25,21.81,33.87,5.92,,,,,0
2000-05-25,21.8,33.48,5.46,,,,,0
2000-05-25,22.52,33.66,5.89,0.12,6.59,,4.96,0
2000-05-25,22.73,99.999,5.58,,,,,0
2000-05-25,21.3,33.97,5.46,0.83,1.23,,3.41,0
2000-05-25,21.19,99.999,5.89,,,,,0
2000-05-25,20.69,32.8,6.26,0.36,1.06,,6.06,0
2000-05-25,21.1,32.88,5.63,,,,,0
2000-05-26,21.2,33.13,5.72,0.95,0.82,,6.69,0
2000-05-26,21.33,33.12,5.55,,,,,0
2000-06-07,15.95,33.55,6.11,0.53,0.6,3.88,4.03,0
2000-06-07,12.48,31.56,6.3,0.28,0.62,2.89,,0
2000-06-07,16.9,33.51,6.01,,,,,0
2000-06-07,16.83,33.61,6.07,0.43,0.61,2.37,4.42,0
2000-06-07,17.41,33.82,6.04,,,,,0
2000-06-07,17.78,34.21,5.86,0.32,0.63,2.71,5.41,0
2000-06-08,18.32,34.22,5.78,,,,,0
2000-06-08,18.25,34.22,5.78,0.29,0.62,2.59,5.07,0
2000-06-08,18.92,34.31,5.6,0.25,0.52,3.95,3.94,0
2000-06-08,18.55,34.33,5.61,,,,,0
2000-06-08,18.11,34.32,5.54,0.29,0.51,4.39,4.63,0
2000-06-08,18.89,34.31,5.73,,,,,0
2000-06-08,18.85,34.31,5.3,0.27,0.53,4.78,5.27,0
2000-06-08,18.69,34.31,5.49,,,,,0
2000-06-08,18.25,34.24,5.42,0.45,0.54,2.9,6.01,0
2000-06-08,16.34,33.65,5.77,,,,,0
2000-06-08,16.4,32.55,6.1,0.59,0.62,3.85,4.22,0
2000-06-08,16.55,33.53,6.05,0.55,0.65,3.12,4.78,0
2000-06-09,16.18,31.933000000000003,6.11,,,,,0
2000-06-09,16.98,32.041,6.01,0.05,0.86,2.06,0.12,0
2000-06-09,17.42,32.049,5.95,,,,,0
2000-06-09,17.6,32.027,5.94,0.38,0.31,0.68,0.14,0
2000-06-09,18.48,32.236,5.86,,,,,0
2000-06-09,18.13,32.294000000000004,5.8,0.08,0.24,0.93,0.48,0
2000-06-09,18.15,32.238,5.51,,,,,0
2000-06-09,18.12,32.22,5.34,,,,,0
2000-06-09,18.36,32.153,5.63,0.04,0.24,0.44,2.27,0
2000-06-09,17.42,32.049,5.95,,,,,0
2000-06-09,18.63,31.795,5.61,,,,,0
