Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,Probability
2000-02-23,14.14,33.88,5.47,0.58,0.47,3.45,7.71,0.0063
2000-02-23,4.46,31.95300000000001,7.23,0.56,0.4,8.73,8.36,0.0002
2000-02-23,4.17,31.829,7.07,0.64,1.71,8.75,8.58,0.0002
2000-02-23,10.94,34.25,5.81,0.03,0.86,2.71,13.97,0.0015
2000-02-23,11.34,33.07,5.72,0.62,0.24,4.61,11.76,0.0024
2000-02-23,11.19,34.23,5.83,0.03,0.73,2.62,10.8,0.0018
2000-02-23,9.85,32.48,6.41,0.59,0.3,2.9,12.5,0.0016
2000-02-23,11.37,34.29,6.09,0.01,0.62,3.43,9.13,0.0018
2000-02-23,9.91,32.82,6.33,0.75,0.27,6.45,12.5,0.0014
2000-02-23,11.44,34.15,5.64,0.03,0.68,4.24,9.85,0.0018
2000-02-23,10.94,34.25,5.81,0.03,0.86,2.71,13.97,0.0015
2000-02-29,5.04,32.123000000000005,7.29,0.13,0.78,8.45,8.25,0.0002
2000-02-29,11.09,34.18,5.81,0.06,0.75,4.79,9.58,0.0016
2000-02-29,16.57,34.6,5.88,0.31,0.44,5.71,5.19,0.0105
2000-02-29,6.02,32.454,6.84,0.68,0.32,5.97,9.49,0.0004
2000-02-29,14.67,33.72,5.72,0.26,0.39,3.02,5.51,0.0072
2000-02-29,6.6,32.545,6.88,0.66,0.35,8.78,10.88,0.0004
2000-02-29,7.01,32.605,6.5,0.28,0.67,8.22,9.72,0.0004
2000-02-29,12.57,33.52,5.55,0.77,0.24,3.91,8.44,0.0041
2000-03-01,9.67,32.82,6.37,0.38,0.26,5.26,11.07,0.0012
2000-03-01,7.1,32.625,6.42,0.76,0.38,6.19,9.96,0.0006
2000-03-01,10.88,34.17,5.63,0.07,0.62,3.65,10.51,0.0016
2000-03-01,10.88,34.17,5.63,0.07,0.62,3.65,10.51,0.0016
2000-03-01,6.56,32.543,6.63,0.03,0.38,6.74,10.49,0.0004
2000-03-01,8.59,32.79,6.33,0.63,0.35,8.72,15.23,0.0007
2000-03-01,5.96,32.407,6.72,2.22,0.4,8.07,9.73,0.0006
2000-03-01,8.76,33.176,5.99,0.67,0.43,6.64,10.28,0.0009
2000-03-01,10.9,34.21,5.79,0.15,0.44,3.48,11.35,0.0016
2000-03-01,4.61,32.107,6.79,0.9,0.62,8.16,8.18,0.0003
2000-03-01,10.75,34.23,5.98,0.04,0.43,2.75,11.75,0.0015
2000-03-01,5.44,32.247,6.77,1.08,0.7,8.22,8.66,0.0003
2000-03-01,10.45,34.28,6.2,0.12,0.41,3.91,13.42,0.0013
2000-03-01,14.09,34.34,5.51,0.53,0.37,4.58,8.6,0.0053
2000-03-01,8.76,33.176,5.99,0.67,0.43,6.64,10.28,0.0009
2000-03-01,10.72,34.19,6.24,0.13,0.46,3.67,11.99,0.0014
2000-03-01,6.31,32.443000000000005,6.46,1.22,0.43,7.05,10.21,0.0005
2000-03-01,14.69,34.09,5.63,0.27,0.45,2.91,7.3,0.0068
2000-03-01,7.61,32.733000000000004,6.39,1.26,0.56,6.71,10.69,0.0008
2000-03-01,16.11,34.03,4.98,0.48,0.64,2.19,6.61,0.0128
2000-03-01,7.85,32.693000000000005,6.45,0.95,0.37,6.72,11.03,0.0008
2000-03-02,7.66,32.631,6.31,0.74,0.33,5.49,9.43,0.0007
2000-03-02,6.66,32.497,6.54,0.79,0.47,6.59,8.83,0.0005
2000-03-03,12.26,34.49,5.84,0.15,0.34,3.54,13.79,0.0023
2000-03-03,11.09,34.18,6.15,0.06,0.31,3.7,12.45,0.0016
2000-03-03,10.19,34.19,6.15,0.13,0.44,4.46,11.97,0.0012
2000-03-04,11.16,34.22,6.22,0.07,0.31,3.11,11.35,0.0017
2000-03-04,13.41,34.51,5.81,0.12,0.56,2.59,14.11,0.0035
2000-03-04,11.99,34.46,6.04,0.15,0.49,2.76,13.57,0.0022
2000-03-04,12.92,34.43,5.86,0.04,0.66,1.07,10.27,0.0034
2000-03-04,13.47,34.52,5.87,0.04,0.73,4.09,8.7,0.0035
2000-03-05,13.96,34.54,6.17,0.08,0.48,0.87,7.42,0.0052
2000-03-05,12.35,34.4,6.14,0.08,0.61,1.68,10.22,0.0028
2000-03-05,12.35,34.4,6.14,0.08,0.61,1.68,10.22,0.0028
2000-04-03,13.19,34.395,6.51,0.05,0.22,3.18,3.12,0.0038
2000-04-03,13.71,34.508,6.42,0.06,0.18,2.58,2.76,0.0047
2000-04-03,13.97,34.497,6.45,0.02,0.11,1.17,3.3,0.0055
2000-04-03,13.45,34.416,6.51,0.08,0.05,3.61,2.07,0.0042
2000-04-03,12.27,34.398,6.3,0.03,0.12,4.62,3.46,0.0026
2000-04-03,11.3,34.126,6.98,0.01,0.04,4.22,1.54,0.002
2000-04-04,11.29,34.269,6.33,0.06,0.09,3.2,0.71,0.0022
2000-04-04,13.48,34.336,6.33,0.07,0.32,2.2,5.26,0.0043
2000-04-04,14.97,34.468,5.67,0.02,0.67,1.16,4.58,0.0075
2000-04-04,10.69,34.44,6.22,0.23,0.15,2.78,14.61,0.0015
2000-04-04,10.21,34.39,6.29,0.24,0.18,2.65,14.88,0.0013
2000-04-04,14.02,34.293,5.81,0.08,0.44,3.11,5.83,0.005
2000-04-04,9.98,33.588,6.57,0.02,0.25,2.98,8.3,0.0013
2000-04-04,10.38,33.638000000000005,6.27,0.14,0.31,3.14,8.91,0.0015
2000-04-04,13.67,34.181,5.84,0.07,0.17,1.87,5.25,0.005
2000-04-04,15.23,34.35,5.95,0.04,0.48,1.69,5.27,0.008
2000-04-06,12.3,34.47,6.04,0.22,0.22,3.56,16.38,0.0023
2000-04-06,7.75,34.13,6.37,0.43,0.25,3.57,16.33,0.0006
2000-04-07,15.01,34.328,5.77,0.06,0.49,2.04,3.72,0.0076
2000-04-07,15.28,34.525,5.72,0.04,0.28,1.59,5.18,0.0082
2000-04-07,15.87,34.698,5.78,0.11,0.14,1.37,3.72,0.0105
2000-04-07,15.75,34.396,5.54,0.08,0.12,1.83,4.85,0.01
2000-04-07,14.05,33.974000000000004,5.88,0.06,0.43,2.62,5.32,0.0054
2000-04-07,13.03,33.787,6.07,0.17,0.16,3.08,7.44,0.0039
2000-04-08,10.9,32.943000000000005,6.45,0.05,0.12,1.74,9.32,0.0021
2000-04-08,10.42,33.146,6.55,0.1,0.09,2.07,7.16,0.0018
2000-04-08,11.04,33.493,6.42,0.17,0.03,1.44,5.51,0.0023
2000-04-08,11.16,33.338,6.45,0.17,0.05,1.11,7.36,0.0024
2000-04-08,13.17,33.965,5.89,0.18,0.21,2.23,6.91,0.0042
2000-04-08,13.54,34.46,6.18,0.39,0.38,3.52,15.79,0.0037
2000-04-08,12.5,34.47,6.44,0.36,0.37,3.94,15.47,0.0025
2000-04-08,13.24,34.45,6.32,0.49,0.22,4.34,14.98,0.0034
2000-04-09,11.94,34.49,6.33,0.45,0.24,2.75,14.7,0.0024
2000-04-09,10.72,34.43,6.28,0.32,0.21,2.48,14.63,0.0016
2000-04-09,12.4,34.02,6.06,0.14,0.25,1.63,6.9,0.0033
2000-04-09,9.81,34.38,6.48,0.33,0.25,2.94,14.91,0.0011
2000-04-09,10.66,33.68,6.07,0.19,0.19,5.93,8.58,0.0015
2000-04-09,9.97,33.419000000000004,6.23,0.34,0.06,5.0,8.1,0.0014
2000-04-09,10.38,34.42,6.15,0.27,0.25,4.11,14.92,0.0012
2000-04-09,10.55,34.42,6.1,0.29,0.23,4.61,14.48,0.0013
2000-04-09,11.77,34.46,6.18,0.2,0.22,4.84,14.34,0.0018
2000-04-14,12.42,34.49,6.21,0.36,0.29,3.58,14.7,0.0026
2000-04-14,11.3,34.3,6.29,0.36,0.34,3.8,15.02,0.0018
2000-04-14,11.24,34.29,6.38,0.36,0.37,3.51,17.33,0.0017
2000-04-15,11.67,34.37,6.28,0.32,0.33,4.44,16.12,0.0018
2000-04-15,11.27,34.28,6.27,0.22,0.3,4.11,15.27,0.0016
2000-04-15,13.43,34.46,6.34,0.39,0.29,3.21,16.0,0.0036
2000-04-15,11.69,34.45,6.74,0.22,0.23,3.44,17.11,0.0018
2000-04-15,11.95,34.43,6.7,0.23,0.25,3.94,17.52,0.0019
2000-04-16,13.15,34.43,6.04,0.19,0.23,4.34,17.93,0.0028
2000-04-16,13.56,34.45,6.35,0.13,0.21,4.42,17.05,0.0032
2000-04-16,12.45,34.45,6.17,0.12,0.41,3.62,17.22,0.0023
2000-04-16,12.09,34.41,6.17,0.28,0.47,3.14,16.73,0.0022
2000-04-17,13.26,34.56,6.13,0.32,0.45,3.89,17.45,0.0031
2000-04-17,14.06,34.59,6.03,0.17,0.32,4.84,18.81,0.0035
2000-04-17,12.2,34.32,6.19,0.18,0.31,5.19,20.42,0.0019
2000-04-17,11.39,34.38,6.2,0.19,0.32,5.98,20.1,0.0014
2000-04-17,12.82,34.33,6.17,0.17,0.34,5.12,20.38,0.0023
2000-04-17,13.65,34.43,6.22,0.15,0.36,5.54,20.52,0.0029
2000-04-19,8.29,32.27,7.06,0.89,0.41,8.54,9.96,0.0008
2000-04-20,10.17,33.124,7.35,0.74,2.18,2.63,4.98,0.0018
2000-04-20,8.72,32.681,7.15,0.9,0.25,5.86,8.43,0.0011
2000-04-20,9.27,32.819,6.8,0.97,0.13,5.82,9.37,0.0013
2000-04-20,9.25,32.663000000000004,6.94,0.68,0.33,5.44,9.41,0.0012
2000-04-20,9.74,32.628,7.99,0.58,0.24,1.19,3.78,0.0019
2000-04-20,9.34,32.629,7.31,0.52,0.3,3.09,8.45,0.0013
2000-04-24,14.39,34.56,5.97,0.22,0.38,5.08,20.68,0.0038
2000-04-24,10.39,32.128,6.68,0.65,0.48,6.97,6.86,0.0018
2000-04-24,9.92,32.523,7.99,0.44,0.35,0.78,0.44,0.0021
2000-04-24,14.41,34.46,6.17,0.24,0.32,5.84,21.01,0.0037
2000-04-24,9.87,32.554,7.67,0.37,0.27,0.2,0.41,0.0021
2000-04-24,11.75,34.18,6.27,0.21,0.32,6.11,20.81,0.0015
2000-04-24,10.13,32.528,7.25,0.34,0.35,0.32,2.38,0.0022
2000-04-25,9.37,32.455999999999996,7.34,0.32,0.49,0.32,1.11,0.0017
2000-04-25,9.17,32.471,7.05,0.54,0.21,0.1,1.67,0.0018
2000-04-25,9.05,32.417,7.4,0.43,0.64,0.4,0.43,0.0016
2000-04-25,7.87,32.16,7.68,0.72,0.59,1.34,0.87,0.0012
2000-04-25,8.8,31.737,7.47,0.6,0.28,0.62,0.63,0.0017
2000-04-28,8.7,31.705,7.78,0.58,1.06,3.59,1.47,0.0013
2000-04-28,8.64,31.916,7.65,0.7,0.33,1.61,0.98,0.0015
2000-04-28,9.32,32.283,7.07,0.43,0.24,0.4,0.57,0.0019
2000-04-28,10.21,32.368,6.97,0.53,0.71,0.34,1.43,0.0025
2000-04-28,9.92,32.41,6.98,0.35,0.35,0.29,4.65,0.002
2000-04-29,9.14,32.083,7.24,0.29,0.92,0.75,0.41,0.0016
2000-04-29,9.18,31.875,7.71,0.39,0.23,0.87,0.3,0.0018
2000-04-29,7.88,31.493000000000002,7.2,0.96,2.22,9.72,4.59,0.0007
2000-06-07,15.95,33.55,6.11,0.53,0.6,3.88,4.03,0.0117
2000-06-07,16.83,33.61,6.07,0.43,0.61,2.37,4.42,0.0163
2000-06-07,17.78,34.21,5.86,0.32,0.63,2.71,5.41,0.0194
2000-06-08,18.25,34.22,5.78,0.29,0.62,2.59,5.07,0.0227
2000-06-08,18.92,34.31,5.6,0.25,0.52,3.95,3.94,0.0263
2000-06-08,18.11,34.32,5.54,0.29,0.51,4.39,4.63,0.0198
2000-06-08,18.85,34.31,5.3,0.27,0.53,4.78,5.27,0.0244
2000-06-08,18.25,34.24,5.42,0.45,0.54,2.9,6.01,0.0237
2000-06-08,16.4,32.55,6.1,0.59,0.62,3.85,4.22,0.0156
2000-06-08,16.55,33.53,6.05,0.55,0.65,3.12,4.78,0.0149
2000-06-09,16.98,32.041,6.01,0.05,0.86,2.06,0.12,0.0195
2000-06-09,17.6,32.027,5.94,0.38,0.31,0.68,0.14,0.0305
2000-06-09,18.13,32.294000000000004,5.8,0.08,0.24,0.93,0.48,0.0311
2000-06-09,18.36,32.153,5.63,0.04,0.24,0.44,2.27,0.0337
2000-06-09,18.92,32.092,5.5,0.13,0.02,0.46,0.48,0.0442
2000-06-09,19.14,32.014,5.65,0.03,1.06,1.0,0.3,0.0415
2000-06-10,13.46,31.986,6.13,0.34,0.14,0.25,1.39,0.0078
2000-06-10,15.36,31.691999999999997,6.41,0.11,0.19,0.76,0.76,0.0134
2000-06-10,15.33,33.81,5.89,0.55,0.68,3.67,4.29,0.0095
2000-06-10,14.94,33.79,5.98,0.59,0.66,3.67,4.08,0.0085
2000-06-10,17.13,34.27,5.44,0.5,0.64,3.66,5.66,0.0159
2000-06-10,17.41,34.28,5.44,0.31,0.55,4.45,4.55,0.0159
2000-06-10,18.0,34.36,5.73,0.37,0.63,3.73,4.37,0.0201
2000-06-10,17.82,34.3,5.65,0.31,0.55,3.63,4.22,0.019
2000-06-11,19.22,32.218,5.62,0.11,0.13,0.24,0.43,0.0477
2000-06-11,19.82,32.169000000000004,5.5,0.46,0.03,0.72,0.19,0.0649
2000-06-11,20.02,32.141999999999996,5.78,0.08,0.11,0.42,1.27,0.0593
2000-06-11,19.56,32.048,5.88,0.18,0.51,0.87,1.21,0.0508
2000-06-11,19.93,32.109,5.54,0.22,0.19,0.55,2.18,0.0597
2000-06-12,19.63,32.313,5.5,0.37,0.35,1.29,1.53,0.0538
2000-06-12,18.8,32.431,5.61,0.07,0.2,0.62,0.51,0.039
2000-06-12,17.26,32.439,5.91,0.13,0.4,2.23,6.52,0.0191
2000-06-12,18.52,34.34,5.44,0.34,0.56,3.65,5.69,0.0236
2000-06-12,18.93,34.34,5.24,0.27,0.77,3.26,5.78,0.0267
2000-06-12,18.57,34.22,5.64,0.36,0.53,3.19,5.94,0.0248
2000-06-12,16.08,33.65,5.82,0.52,0.62,3.44,6.88,0.0119
2000-06-12,15.8,33.64,5.88,0.55,0.63,3.59,6.52,0.0109
2000-06-13,17.27,33.52,5.81,0.44,0.78,2.84,6.55,0.0179
2000-06-13,17.89,33.51,5.83,0.41,0.7,2.29,6.04,0.0227
2000-06-13,18.98,33.88,5.14,0.31,0.66,3.52,4.18,0.0298
2000-06-13,18.12,33.54,5.54,0.33,0.7,3.65,4.82,0.0226
2000-06-13,18.55,34.32,5.21,0.21,0.62,2.98,4.01,0.0246
2000-06-13,18.04,32.904,5.67,0.03,0.15,2.69,3.03,0.024
2000-06-13,19.92,33.9,5.49,0.03,0.08,2.35,2.26,0.0413
2000-06-13,19.18,34.33,5.21,0.22,0.69,3.12,4.65,0.0295
2000-06-13,18.77,33.246,5.49,0.04,0.08,2.21,3.99,0.0301
2000-06-13,19.28,33.85,5.43,0.22,0.68,2.28,4.21,0.0338
2000-06-13,18.01,33.683,6.15,0.12,0.11,2.63,4.49,0.0215
2000-06-13,18.12,33.54,5.54,0.33,0.7,3.65,4.82,0.0226
2000-06-13,18.45,33.101,5.86,0.13,0.06,2.18,4.8,0.0277
2000-06-13,18.38,33.507,6.38,0.23,0.17,5.23,1.78,0.0229
2000-06-13,17.7,33.55,5.65,0.48,0.74,2.48,6.4,0.0215
2000-06-13,17.07,33.62,5.56,0.45,0.78,2.56,6.55,0.0171
2000-06-13,18.29,32.897,5.88,0.01,0.07,3.75,5.19,0.0232
2000-06-14,21.21,32.253,5.13,0.01,0.07,2.64,1.74,0.0746
2000-06-14,18.13,32.96,5.74,0.01,0.09,3.35,3.82,0.0231
2000-06-14,17.68,33.318000000000005,6.02,0.08,0.23,3.35,3.24,0.0194
2000-06-14,16.76,33.289,6.16,0.03,0.17,3.99,4.31,0.0133
2000-06-14,17.47,32.995,5.86,0.04,0.07,4.54,3.93,0.0174
2000-06-14,20.04,33.501,5.37,0.04,0.19,4.97,1.18,0.0393
2000-06-15,17.92,33.61,5.67,0.45,0.98,3.49,6.88,0.0208
2000-06-15,18.17,33.65,5.52,0.41,0.92,3.18,6.8,0.0229
2000-06-15,17.61,33.63,5.87,0.38,0.65,3.94,6.19,0.0183
2000-06-15,17.89,33.007,6.67,0.57,0.28,0.93,6.2,0.0273
2000-06-15,18.29,33.12,5.76,0.36,0.99,3.37,6.83,0.0241
2000-06-15,18.67,32.476,5.54,0.55,0.26,0.45,5.31,0.0409
2000-06-15,15.25,33.54,5.8,0.56,0.98,3.39,6.39,0.0092
2000-06-15,19.78,32.481,5.52,0.48,0.18,0.38,2.72,0.0601
2000-06-16,20.2,32.428000000000004,5.37,0.43,0.5,0.45,2.49,0.0668
2000-06-16,18.13,33.13,5.66,0.02,0.15,1.06,3.62,0.0262
2000-06-16,20.69,32.344,5.43,0.63,0.4,0.88,1.38,0.0839
2000-06-16,21.81,32.499,5.69,0.09,0.11,1.22,1.79,0.0945
2000-06-16,20.27,32.376,5.49,0.14,0.15,0.69,2.27,0.0624
2000-06-16,22.32,32.656,5.18,0.04,0.13,1.08,1.02,0.111
2000-06-16,17.43,32.713,6.38,0.12,0.24,1.33,3.71,0.0214
2000-06-16,22.02,32.625,5.44,0.2,0.09,1.0,2.09,0.1051
2000-06-16,21.65,32.509,5.43,0.05,0.09,1.94,1.84,0.0862
2000-06-16,21.13,33.045,5.74,0.05,0.18,3.07,1.12,0.0645
2000-06-16,20.99,32.622,5.41,0.03,0.16,4.64,2.73,0.0579
2000-06-17,20.69,31.116,5.49,0.02,0.16,4.91,7.38,0.0559
2000-06-17,20.22,32.219,5.52,0.3,0.16,3.54,5.26,0.053
2000-06-17,19.77,32.332,5.67,0.27,0.13,1.46,5.73,0.05
2000-06-17,20.06,32.903,5.27,0.03,0.15,1.79,2.25,0.0502
2000-06-19,19.8,33.179,5.86,0.15,0.21,2.88,1.8,0.0429
2000-06-19,16.44,32.834,5.89,0.15,0.25,3.82,4.69,0.0133
2000-08-01,23.4,31.778000000000002,5.56,0.04,0.22,8.92,1.31,0.106
2000-08-01,26.91,32.364000000000004,4.88,0.08,0.18,6.4,1.62,0.3036
2000-08-01,25.36,31.899,5.04,0.14,0.23,7.14,1.46,0.2102
2000-08-01,24.0,32.345,4.98,0.07,0.18,4.27,1.35,0.1584
2000-08-01,25.12,31.891,4.86,0.1,0.12,3.69,1.44,0.2337
2000-08-02,25.76,31.662,4.52,0.07,0.13,3.95,2.09,0.2747
2000-08-02,28.22,31.26,4.84,0.06,0.13,3.44,0.9,0.4829
2000-08-02,26.82,31.761999999999997,4.98,0.15,0.15,3.13,2.21,0.3602
2000-08-02,24.11,32.018,4.99,0.08,0.19,1.84,1.14,0.1919
2000-08-02,23.88,32.275,4.99,0.07,0.15,2.64,1.69,0.1672
2000-08-02,24.8,33.82,5.58,0.31,0.2,1.16,12.33,0.1773
2000-08-02,23.58,33.95,5.62,0.34,0.16,1.3,10.89,0.1272
2000-08-02,23.65,33.87,5.51,0.32,0.1,0.51,10.58,0.1375
2000-08-03,22.53,33.88,5.55,0.27,0.14,0.3,12.18,0.0951
2000-08-03,22.58,33.82,5.72,0.18,0.13,0.39,13.42,0.0912
2000-08-03,26.8,31.601999999999997,4.68,0.14,0.15,4.69,2.48,0.3423
2000-08-03,30.07,32.04,5.22,0.09,0.11,0.04,3.34,0.649
2000-08-03,22.64,33.94,5.63,0.15,0.08,0.33,12.43,0.0933
2000-08-03,27.82,31.436,4.93,0.15,0.21,2.64,1.42,0.4603
2000-08-03,29.84,28.48,5.22,0.02,0.01,1.99,4.93,0.687
2000-08-03,22.83,33.93,5.51,0.23,0.07,0.37,10.86,0.1048
2000-08-03,29.91,28.9,5.11,0.16,0.11,1.96,7.97,0.6802
2000-08-03,23.16,33.98,5.6,0.29,0.05,0.25,10.93,0.1176
2000-08-03,30.43,28.62,5.59,0.05,0.07,0.07,2.91,0.7527
2000-08-03,24.05,33.84,5.55,0.31,0.12,1.45,12.85,0.1408
2000-08-03,24.17,33.85,5.59,0.3,0.12,1.11,12.72,0.1478
2000-08-04,30.56,29.01,5.79,0.07,0.12,0.77,5.07,0.735
2000-08-04,30.75,25.75,3.4,0.11,0.04,2.07,9.51,0.8083
2000-08-04,29.78,28.48,4.09,0.4,0.05,0.78,10.05,0.7188
2000-08-04,29.81,30.7,5.19,0.02,0.02,0.79,12.53,0.6092
2000-08-05,26.4,31.886999999999997,4.58,0.17,0.08,1.53,1.74,0.3568
2000-08-05,29.65,28.88,4.88,0.4,0.14,5.96,13.6,0.6021
2000-08-05,23.48,33.62,5.19,0.35,0.14,0.82,10.11,0.1359
2000-08-05,23.53,33.62,5.17,0.39,0.13,0.73,10.82,0.1389
2000-08-05,28.1,32.046,4.44,0.06,0.35,2.73,1.08,0.461
2000-08-05,23.08,33.8,5.46,0.34,0.07,0.98,10.87,0.115
2000-08-05,29.88,31.83,4.71,0.18,0.05,0.1,0.47,0.6661
2000-08-05,28.45,32.893,4.34,0.05,0.11,2.25,0.74,0.4787
2000-08-05,22.09,33.29,5.56,0.16,0.07,0.88,15.51,0.0782
2000-08-05,29.15,29.92,4.82,0.98,0.22,0.03,1.01,0.7212
2000-08-05,28.6,32.472,4.65,0.05,0.16,1.91,0.89,0.5035
2000-08-05,22.72,33.43,5.74,0.1,0.13,0.42,16.25,0.0916
2000-08-05,28.31,31.526999999999997,4.69,0.08,0.1,1.59,1.24,0.5138
2000-08-05,22.69,33.49,5.68,0.18,0.13,1.59,18.7,0.0833
2000-08-05,28.3,31.423000000000002,4.36,0.07,0.14,1.54,2.16,0.5148
2000-08-06,27.61,31.184,4.56,0.08,0.03,3.18,1.92,0.4408
2000-08-06,23.82,33.4,5.53,0.19,0.16,0.85,17.05,0.1274
2000-08-06,27.77,31.254,4.59,0.06,0.12,2.05,2.97,0.4605
2000-08-06,29.7,27.42,4.88,0.08,0.02,0.15,3.98,0.7379
2000-08-06,28.0,31.488000000000003,4.67,0.12,0.07,1.63,2.97,0.4847
2000-08-06,23.97,33.44,5.52,0.12,0.09,0.56,16.58,0.1332
2000-08-06,28.25,31.438000000000002,4.98,0.1,0.07,1.91,3.14,0.4962
2000-08-06,30.08,26.74,4.82,0.04,0.06,0.1,4.78,0.7711
2000-08-06,23.41,33.48,5.55,0.15,0.06,0.48,18.46,0.1107
2000-08-06,28.8,31.041,4.97,0.18,0.07,1.83,1.35,0.5708
2000-08-06,30.51,25.3,4.34,0.56,0.14,5.47,8.0,0.7937
2000-08-06,23.5,33.25,5.5,0.21,0.1,0.5,15.63,0.1245
2000-08-06,22.96,33.37,5.14,0.24,0.08,0.76,15.79,0.1059
2000-08-06,22.05,33.44,4.81,0.22,0.26,0.6,15.95,0.08
2000-08-07,22.09,33.44,4.84,0.23,0.25,0.77,15.84,0.0806
2000-08-07,28.25,31.254,4.91,0.17,0.12,1.15,2.68,0.5222
2000-08-07,27.95,31.66800000000001,4.94,0.08,0.21,3.12,5.2,0.4324
2000-08-07,22.22,31.475,5.03,0.11,1.33,5.07,6.45,0.0849
2000-08-08,26.91,31.866999999999997,4.72,0.16,0.01,0.1,4.47,0.4046
2000-08-08,24.72,31.666,4.71,0.09,2.13,3.16,6.13,0.1839
2000-08-08,21.25,33.27,4.63,0.33,0.17,0.25,16.55,0.0677
2000-08-08,23.52,33.44,4.59,0.31,0.15,0.24,16.53,0.1314
2000-08-08,25.84,31.311,4.89,0.01,0.11,0.18,6.35,0.312
2000-08-08,23.52,33.44,4.59,0.31,0.15,0.24,16.53,0.1314
