Observation Date,Temperature,Salinity,Dissolved Oxygen,Probability
2000-02-18,10.77,34.25,5.86,0.15
2000-02-18,10.89,34.29,6.28,0.146
2000-02-18,11.12,34.24,6.27,0.1589
2000-02-18,11.48,34.18,5.91,0.1916
2000-02-18,11.67,34.12,5.56,0.2172
2000-02-18,12.41,34.13,5.6,0.28
2000-02-22,2.79,31.354,7.55,0.0075
2000-02-22,3.38,31.794,7.37,0.0094
2000-02-22,3.82,31.965999999999998,7.27,0.0111
2000-02-22,4.48,32.176,7.13,0.0142
2000-02-22,5.23,32.4,7.01,0.0188
2000-02-22,5.89,32.491,6.89,0.0241
2000-02-22,6.16,32.465,6.8,0.0269
2000-02-22,6.34,32.348,6.64,0.0295
2000-02-23,6.45,32.409,6.82,0.0298
2000-02-23,6.59,32.54,6.6,0.0322
2000-02-23,6.5,32.532,6.62,0.0311
2000-02-23,16.05,34.12,5.15,1.0812
2000-02-23,6.37,32.54,6.62,0.0297
2000-02-23,5.09,32.339,6.8,0.0185
2000-02-23,4.94,32.241,6.95,0.0172
2000-02-23,14.82,33.95,4.98,0.7264
2000-02-23,4.46,32.037,7.11,0.0142
2000-02-23,14.14,33.88,5.47,0.5301
2000-02-23,4.46,31.95300000000001,7.23,0.014
2000-02-23,4.04,31.756999999999998,7.17,0.0123
2000-02-23,13.4,33.76,5.31,0.421
2000-02-23,4.17,31.829,7.07,0.013
2000-02-23,10.94,34.25,5.81,0.1605
2000-02-23,11.34,33.07,5.72,0.1952
2000-02-23,11.03,34.27,5.83,0.1651
2000-02-23,11.19,34.23,5.83,0.1749
2000-02-23,10.36,32.8,6.37,0.1256
2000-02-23,11.43,34.28,6.02,0.1843
2000-02-23,9.85,32.48,6.41,0.1054
2000-02-23,11.37,34.29,6.09,0.1783
2000-02-23,9.94,32.5,4.58,0.146
2000-02-23,11.35,34.13,5.71,0.1893
2000-02-23,9.91,32.82,6.33,0.1078
2000-02-23,11.44,34.15,5.64,0.1975
2000-02-23,10.03,32.75,6.08,0.1173
2000-02-23,10.94,34.25,5.81,0.1605
2000-02-29,3.87,31.743000000000002,7.1,0.0117
2000-02-29,11.07,34.19,5.58,0.1748
2000-02-29,16.28,34.67,4.94,1.1894
2000-02-29,5.01,32.086,7.13,0.0172
2000-02-29,5.04,32.123000000000005,7.29,0.0169
2000-02-29,11.09,34.18,5.81,0.1697
2000-02-29,16.57,34.6,5.88,1.1354
2000-02-29,5.53,32.189,7.06,0.0208
2000-02-29,6.02,32.454,6.84,0.0254
2000-02-29,11.02,34.17,5.9,0.1632
2000-02-29,16.31,34.21,4.94,1.2207
2000-02-29,5.81,32.428000000000004,6.84,0.0236
2000-02-29,10.69,34.18,6.01,0.1427
2000-02-29,14.67,33.72,5.72,0.6168
2000-02-29,6.6,32.545,6.88,0.0309
2000-02-29,6.81,32.579,6.67,0.0344
2000-02-29,9.44,34.17,6.25,0.0883
2000-02-29,13.89,32.68,5.86,0.4749
2000-02-29,7.01,32.605,6.5,0.0379
2000-02-29,12.57,33.52,5.55,0.3049
2000-02-29,6.88,32.56,6.5,0.0363
2000-02-29,11.09,34.28,5.87,0.1675
2000-02-29,10.94,33.25,6.41,0.1508
2000-03-01,10.04,34.22,5.94,0.1145
2000-03-01,7.23,32.611,6.41,0.0416
2000-03-01,9.67,32.82,6.37,0.0984
2000-03-01,7.1,32.625,6.42,0.0396
2000-03-01,10.66,34.17,5.91,0.1435
2000-03-01,8.99,32.43,6.41,0.0779
2000-03-01,6.89,32.6,6.53,0.0362
2000-03-01,10.88,34.17,5.63,0.1622
2000-03-01,10.88,34.17,5.63,0.1622
2000-03-01,6.56,32.543,6.63,0.0317
2000-03-01,8.59,32.79,6.33,0.0677
2000-03-01,6.17,32.454,6.69,0.0275
2000-03-01,10.99,34.17,5.66,0.1678
2000-03-01,5.96,32.407,6.72,0.0254
2000-03-01,8.53,32.9,6.45,0.0648
2000-03-01,5.68,32.323,6.78,0.0229
2000-03-01,8.76,33.176,5.99,0.0749
2000-03-01,10.9,34.21,5.79,0.159
2000-03-01,4.61,32.107,6.79,0.0158
2000-03-01,8.13,32.43,6.06,0.0608
2000-03-01,12.17,34.42,5.81,0.2463
2000-03-01,10.75,34.23,5.98,0.1462
2000-03-01,3.78,31.951,6.68,0.012
2000-03-01,5.44,32.247,6.77,0.0211
2000-03-01,11.47,34.39,6.02,0.1862
2000-03-01,10.45,34.28,6.2,0.1267
2000-03-01,10.63,34.35,6.19,0.1349
2000-03-01,13.1,34.03,5.67,0.3542
2000-03-01,7.55,32.858000000000004,6.51,0.0454
2000-03-01,14.09,34.34,5.51,0.5095
2000-03-01,8.76,33.176,5.99,0.0749
2000-03-01,10.95,34.29,6.15,0.1523
2000-03-01,6.82,32.575,6.24,0.037
2000-03-01,10.72,34.19,6.24,0.1389
2000-03-01,14.21,34.23,5.76,0.5124
2000-03-01,6.31,32.443000000000005,6.46,0.03
2000-03-01,7.35,32.753,6.45,0.0429
2000-03-01,14.69,34.09,5.63,0.6223
2000-03-01,15.48,33.49,5.35,0.8763
2000-03-01,7.61,32.733000000000004,6.39,0.0475
2000-03-01,7.75,32.671,6.42,0.0498
2000-03-01,16.11,34.03,4.98,1.138
2000-03-01,7.85,32.693000000000005,6.45,0.0513
2000-03-02,16.25,34.51,5.06,1.1609
2000-03-02,7.77,32.716,6.29,0.0511
2000-03-02,7.87,32.654,6.24,0.0535
2000-03-02,7.66,32.631,6.31,0.0492
2000-03-02,7.27,32.594,6.43,0.0421
2000-03-02,6.66,32.497,6.54,0.0334
2000-03-02,6.19,32.493,6.68,0.0277
2000-03-03,12.49,34.5,6.02,0.2658
2000-03-03,12.26,34.49,5.84,0.2524
2000-03-03,12.74,34.49,5.91,0.2955
2000-03-03,11.09,34.18,6.15,0.1606
2000-03-03,11.04,34.18,6.2,0.1565
2000-03-03,10.19,34.19,6.15,0.1169
2000-03-04,12.66,34.46,6.08,0.2799
2000-03-04,11.16,34.22,6.22,0.1626
2000-03-04,13.47,34.51,5.77,0.3906
2000-03-04,13.41,34.51,5.81,0.38
2000-03-04,12.15,34.45,5.83,0.2435
2000-03-04,11.99,34.46,6.04,0.2224
2000-03-04,11.99,34.46,6.01,0.2235
2000-03-04,12.67,34.46,5.86,0.291
2000-03-04,12.92,34.43,5.86,0.3181
2000-03-04,13.47,34.52,5.84,0.3861
2000-03-04,13.47,34.52,5.87,0.3843
2000-03-04,13.54,34.53,6.17,0.3752
2000-03-04,14.5,34.55,6.2,0.523
2000-03-05,13.96,34.54,6.17,0.4348
2000-03-05,12.35,34.4,6.14,0.249
2000-03-05,13.21,34.5,6.25,0.3301
2000-03-05,12.35,34.4,6.14,0.249
2000-04-03,13.19,34.395,6.51,0.3154
2000-04-03,14.25,34.476,6.35,0.4687
2000-04-03,13.71,34.508,6.42,0.3829
2000-04-03,13.97,34.497,6.45,0.4177
2000-04-03,13.37,34.439,6.41,0.341
2000-04-03,13.45,34.416,6.51,0.3454
2000-04-03,12.27,34.398,6.3,0.2359
2000-04-03,11.3,34.126,6.98,0.1516
2000-04-04,11.29,34.269,6.33,0.1669
2000-04-04,11.12,33.968,6.35,0.1583
2000-04-04,10.77,33.998000000000005,6.33,0.1402
2000-04-04,13.48,34.336,6.33,0.3603
2000-04-04,14.72,34.493,5.69,0.6144
2000-04-04,15.13,34.495,6.0,0.6751
2000-04-04,14.97,34.468,5.67,0.6735
2000-04-04,14.73,34.388000000000005,5.84,0.6041
2000-04-04,10.69,34.44,6.22,0.1367
2000-04-04,9.39,34.33,6.32,0.0853
2000-04-04,10.21,34.39,6.29,0.1143
2000-04-04,14.02,34.293,5.81,0.4745
2000-04-04,7.83,34.16,6.56,0.0476
2000-04-04,12.27,34.159,6.23,0.2405
2000-04-04,9.98,33.588,6.57,0.1035
2000-04-04,9.93,33.62,6.48,0.1031
2000-04-04,10.38,33.638000000000005,6.27,0.1249
2000-04-04,10.95,33.769,6.33,0.1506
2000-04-04,13.67,34.181,5.84,0.4191
2000-04-04,14.45,34.198,5.79,0.5554
2000-04-04,15.23,34.35,5.95,0.7083
2000-04-06,12.3,34.47,6.04,0.248
2000-04-06,11.88,34.48,6.16,0.2097
2000-04-06,7.75,34.13,6.37,0.0478
2000-04-07,15.01,34.328,5.77,0.6754
2000-04-07,14.86,34.227,5.92,0.6276
2000-04-07,15.28,34.525,5.72,0.7435
2000-04-07,15.36,34.601,5.73,0.7614
2000-04-07,15.87,34.698,5.78,0.9002
2000-04-07,15.75,34.397,5.93,0.8513
2000-04-07,15.75,34.396,5.54,0.9062
2000-04-07,15.21,34.258,5.63,0.7426
2000-04-07,14.05,33.974000000000004,5.88,0.4793
2000-04-07,13.8,33.969,5.83,0.4426
2000-04-07,13.03,33.787,6.07,0.3267
2000-04-07,10.94,33.046,5.69,0.1705
2000-04-08,10.9,32.943000000000005,6.45,0.1493
2000-04-08,10.49,32.623000000000005,6.42,0.1312
2000-04-08,10.36,33.22,6.56,0.1201
2000-04-08,10.42,33.146,6.55,0.1231
2000-04-08,10.68,33.306,6.54,0.1344
2000-04-08,11.04,33.493,6.42,0.1546
2000-04-08,11.2,33.609,6.24,0.1678
2000-04-08,11.16,33.338,6.45,0.1614
2000-04-08,11.27,33.345,6.33,0.171
2000-04-08,13.17,33.965,5.89,0.3512
2000-04-08,13.62,34.010999999999996,5.87,0.4121
2000-04-08,13.54,34.46,6.18,0.3754
2000-04-08,13.38,34.44,6.08,0.3609
2000-04-08,12.5,34.47,6.44,0.2495
2000-04-08,11.59,34.36,6.23,0.188
2000-04-08,13.24,34.45,6.32,0.3304
2000-04-09,12.27,34.47,6.26,0.2369
2000-04-09,11.94,34.49,6.33,0.2083
2000-04-09,9.99,34.39,6.28,0.1059
2000-04-09,10.72,34.43,6.28,0.1369
2000-04-09,12.4,34.02,6.06,0.26
2000-04-09,9.81,34.38,6.48,0.0963
2000-04-09,12.85,34.023,5.97,0.3091
2000-04-09,10.66,33.68,6.07,0.1422
2000-04-09,9.97,33.419000000000004,6.23,0.1096
2000-04-09,10.38,34.42,6.15,0.124
2000-04-09,10.55,34.42,6.1,0.1327
2000-04-09,10.8,34.43,6.01,0.147
2000-04-09,11.77,34.46,6.18,0.2012
2000-04-09,11.62,34.46,6.23,0.1893
2000-04-14,12.42,34.49,6.21,0.2516
2000-04-14,11.63,34.36,6.43,0.1846
2000-04-14,11.3,34.3,6.29,0.1684
2000-04-14,11.08,34.28,6.47,0.1515
2000-04-14,11.24,34.29,6.38,0.1626
2000-04-15,11.67,34.37,6.28,0.1917
2000-04-15,11.17,34.29,6.27,0.1614
2000-04-15,11.27,34.28,6.27,0.1673
2000-04-15,11.63,34.37,6.41,0.1851
2000-04-15,13.43,34.46,6.34,0.352
2000-04-15,12.85,34.47,6.38,0.285
2000-04-15,11.69,34.45,6.74,0.1788
2000-04-15,11.88,34.44,6.52,0.1982
2000-04-15,11.95,34.43,6.7,0.1974
2000-04-16,12.13,34.34,6.19,0.229
2000-04-16,13.15,34.43,6.04,0.3351
2000-04-16,13.6,34.43,6.14,0.3863
2000-04-16,13.56,34.45,6.35,0.368
2000-04-16,13.31,34.47,6.39,0.3346
2000-04-16,12.45,34.45,6.17,0.2562
2000-04-16,12.44,34.44,6.21,0.2538
2000-04-16,12.09,34.41,6.17,0.226
2000-04-17,13.34,34.56,6.21,0.3471
2000-04-17,13.26,34.56,6.13,0.3418
2000-04-17,13.51,34.51,6.4,0.358
2000-04-17,14.06,34.59,6.03,0.4598
2000-04-17,14.44,34.56,6.16,0.5152
2000-04-17,12.2,34.32,6.19,0.2349
2000-04-17,11.3,34.23,6.24,0.1702
2000-04-17,11.39,34.38,6.2,0.1759
2000-04-17,12.82,34.33,6.17,0.2931
2000-04-17,12.25,34.33,6.2,0.2386
2000-04-17,13.65,34.43,6.22,0.3882
2000-04-18,14.36,34.59,6.19,0.498
2000-04-19,8.29,32.27,7.06,0.0551
2000-04-19,8.37,32.352,7.03,0.0568
2000-04-19,9.85,33.056999999999995,7.27,0.0899
2000-04-20,10.17,33.124,7.35,0.0992
2000-04-20,9.09,32.751999999999995,7.24,0.0698
2000-04-20,8.72,32.681,7.15,0.0623
2000-04-20,8.87,32.639,7.01,0.0673
2000-04-20,9.27,32.819,6.8,0.0797
2000-04-20,8.71,32.656,6.9,0.0647
2000-04-20,9.25,32.663000000000004,6.94,0.0778
2000-04-20,9.59,32.71,7.68,0.0777
2000-04-20,9.52,32.61,7.67,0.0762
2000-04-20,9.74,32.628,7.99,0.0781
2000-04-20,9.45,32.644,7.62,0.0748
2000-04-20,9.34,32.629,7.31,0.0757
2000-04-20,8.35,32.491,7.19,0.0547
2000-04-24,14.39,34.56,5.97,0.5219
2000-04-24,14.5,34.52,5.94,0.5458
2000-04-24,10.39,32.128,6.68,0.1235
2000-04-24,9.93,32.546,7.79,0.0865
2000-04-24,9.22,32.417,7.36,0.0725
2000-04-24,9.92,32.523,7.99,0.0836
2000-04-24,14.87,34.55,5.93,0.622
2000-04-24,9.93,32.546,7.79,0.0865
2000-04-24,14.41,34.46,6.17,0.5107
2000-04-24,9.87,32.554,7.67,0.0864
2000-04-24,12.63,34.21,6.13,0.277
2000-04-24,10.05,32.562,7.47,0.095
2000-04-24,11.75,34.18,6.27,0.1988
2000-04-24,10.13,32.528,7.25,0.1014
2000-04-24,9.88,32.504,7.03,0.0963
2000-04-25,9.35,32.444,7.14,0.0786
2000-04-25,9.37,32.455999999999996,7.34,0.0766
2000-04-25,9.28,32.473,7.18,0.0761
2000-04-25,9.17,32.471,7.05,0.0748
2000-04-25,8.72,32.459,7.25,0.0618
2000-04-25,9.05,32.417,7.4,0.0678
2000-04-25,8.44,32.379,7.53,0.0536
2000-04-25,7.87,32.16,7.68,0.0431
2000-04-25,8.14,31.868000000000002,7.46,0.0496
2000-04-25,8.8,31.737,7.47,0.0629
2000-04-28,8.7,31.705,7.78,0.0578
2000-04-28,8.7,31.763,7.67,0.0587
2000-04-28,8.64,31.916,7.65,0.0573
2000-04-28,8.34,32.048,7.38,0.0536
2000-04-28,9.32,32.283,7.07,0.0791
2000-04-28,9.64,32.312,7.04,0.0889
2000-04-28,10.21,32.368,6.97,0.1097
2000-04-28,9.55,32.385999999999996,6.98,0.0867
2000-04-28,9.92,32.41,6.98,0.0987
2000-04-28,10.79,32.452,7.14,0.1306
2000-04-28,9.46,32.364000000000004,7.21,0.081
2000-04-28,9.47,32.388000000000005,6.98,0.0843
2000-04-28,9.43,32.318000000000005,7.09,0.0818
2000-04-29,9.14,32.083,7.24,0.0727
2000-04-29,9.31,32.0,7.45,0.0748
2000-04-29,9.18,31.875,7.71,0.0688
2000-04-29,8.47,31.601,7.53,0.0557
2000-04-29,7.88,31.493000000000002,7.2,0.0478
2000-05-23,20.84,33.7,5.12,5.7078
2000-05-23,20.93,99.999,5.35,0.6251
2000-05-23,19.22,32.97,6.84,2.5833
2000-05-23,20.94,99.999,5.43,0.6193
2000-05-23,20.89,32.68,5.83,5.3818
2000-05-23,21.63,99.999,5.61,0.7665
2000-05-23,21.45,32.54,5.61,6.7318
2000-05-23,20.79,99.999,5.69,0.5635
2000-05-23,19.89,28.4,6.58,3.9336
2000-05-23,18.83,99.999,6.26,0.2579
2000-05-24,18.93,99.999,5.75,0.29
2000-05-24,20.17,29.28,5.61,4.8807
2000-05-24,19.41,99.999,5.81,0.3401
2000-05-24,20.11,33.11,5.55,4.2621
2000-05-24,20.74,99.999,5.46,0.5745
2000-05-24,20.5,32.87,5.61,4.8542
2000-05-24,20.22,99.999,5.58,0.4694
2000-05-24,20.62,33.06,5.61,5.0229
2000-05-24,21.25,99.999,5.43,0.6905
2000-05-25,19.65,33.7,5.58,3.5594
2000-05-25,21.81,33.87,5.92,6.9343
2000-05-25,21.8,33.48,5.46,7.4968
2000-05-25,22.52,33.66,5.89,8.8349
2000-05-25,22.73,99.999,5.58,1.1319
2000-05-25,21.3,33.97,5.46,6.2612
2000-05-25,21.19,99.999,5.89,0.628
2000-05-25,20.69,32.8,6.26,4.693
2000-05-25,21.1,32.88,5.63,5.9127
2000-05-26,21.2,33.13,5.72,5.9813
2000-05-26,21.33,33.12,5.55,6.4097
2000-06-07,15.95,33.55,6.11,0.9128
2000-06-07,12.48,31.56,6.3,0.2798
2000-06-07,16.9,33.51,6.01,1.2945
2000-06-07,16.83,33.61,6.07,1.2471
2000-06-07,17.41,33.82,6.04,1.5229
2000-06-07,17.78,34.21,5.86,1.759
2000-06-08,18.32,34.22,5.78,2.1472
2000-06-08,18.25,34.22,5.78,2.0958
2000-06-08,18.92,34.31,5.6,2.7086
2000-06-08,18.55,34.33,5.61,2.3792
2000-06-08,18.11,34.32,5.54,2.0671
2000-06-08,18.89,34.31,5.73,2.6265
2000-06-08,18.85,34.31,5.3,2.7718
2000-06-08,18.69,34.31,5.49,2.5462
2000-06-08,18.25,34.24,5.42,2.2171
2000-06-08,16.34,33.65,5.77,1.101
2000-06-08,16.4,32.55,6.1,1.1069
2000-06-08,16.55,33.53,6.05,1.1376
2000-06-09,16.18,31.933000000000003,6.11,1.0448
2000-06-09,16.98,32.041,6.01,1.3985
2000-06-09,17.42,32.049,5.95,1.6451
2000-06-09,17.6,32.027,5.94,1.7553
2000-06-09,18.48,32.236,5.86,2.3937
2000-06-09,18.13,32.294000000000004,5.8,2.1373
2000-06-09,18.15,32.238,5.51,2.2572
2000-06-09,18.12,32.22,5.34,2.2961
2000-06-09,18.36,32.153,5.63,2.3881
2000-06-09,17.42,32.049,5.95,1.6451
2000-06-09,18.63,31.795,5.61,2.6605
2000-06-09,18.92,32.092,5.5,2.9611
2000-06-09,19.0,32.048,5.59,3.0051
2000-06-09,19.14,32.014,5.65,3.1268
2000-06-10,18.61,32.198,5.85,2.5105
2000-06-10,13.46,31.986,6.13,0.4002
2000-06-10,15.72,31.784000000000002,6.2,0.8812
2000-06-10,15.36,31.691999999999997,6.41,0.7534
2000-06-10,15.33,33.81,5.89,0.7543
2000-06-10,14.94,33.79,5.98,0.6488
2000-06-10,15.81,33.75,5.8,0.9072
2000-06-10,17.13,34.27,5.44,1.4971
2000-06-10,17.38,34.29,5.4,1.6424
2000-06-10,17.41,34.28,5.44,1.6497
2000-06-10,18.1,34.36,5.61,2.0345
2000-06-10,18.0,34.36,5.73,1.9283
2000-06-10,16.44,34.28,5.6,1.1469
2000-06-10,17.82,34.3,5.65,1.8384
2000-06-11,17.73,31.288,5.72,1.949
2000-06-11,16.98,32.115,5.77,1.4494
2000-06-11,19.22,32.218,5.62,3.207
2000-06-11,19.58,32.118,5.57,3.6666
2000-06-11,19.82,32.169000000000004,5.5,4.0149
2000-06-11,19.79,32.213,5.61,3.9014
2000-06-11,20.02,32.141999999999996,5.78,4.1177
2000-06-11,20.28,32.145,5.79,4.4888
2000-06-11,19.56,32.048,5.88,3.478
2000-06-11,19.92,32.104,5.85,3.9424
2000-06-11,18.79,32.108000000000004,5.65,2.7645
2000-06-11,19.93,32.109,5.54,4.1498
2000-06-12,19.52,32.213,5.53,3.6036
2000-06-12,19.63,32.313,5.5,3.7463
2000-06-12,19.65,32.361,5.56,3.731
2000-06-12,18.8,32.431,5.61,2.7618
2000-06-12,19.04,32.388000000000005,5.77,2.9288
2000-06-12,17.26,32.439,5.91,1.5456
2000-06-12,18.52,34.34,5.44,2.4179
2000-06-12,18.9,34.33,5.62,2.6798
2000-06-12,18.93,34.34,5.24,2.8731
2000-06-12,18.45,34.36,5.35,2.3924
2000-06-12,18.57,34.22,5.64,2.3931
2000-06-12,17.36,33.71,5.71,1.5831
2000-06-12,16.08,33.65,5.82,0.9973
2000-06-12,15.69,33.71,5.86,0.8628
2000-06-12,15.8,33.64,5.88,0.8959
2000-06-13,17.27,33.52,5.81,1.5198
2000-06-13,17.71,33.54,5.87,1.7529
2000-06-13,17.89,33.51,5.83,1.8796
2000-06-13,18.31,33.56,5.6,2.2505
2000-06-13,18.98,33.88,5.14,3.0145
2000-06-13,19.14,34.11,5.24,3.1111
2000-06-13,18.12,33.54,5.54,2.1289
2000-06-13,18.55,34.32,5.21,2.5348
2000-06-13,18.28,34.35,5.02,2.3774
2000-06-13,18.04,32.904,5.67,2.0722
2000-06-13,18.25,33.074,5.83,2.1603
2000-06-13,19.92,33.9,5.49,3.9309
2000-06-13,19.18,34.33,5.21,3.1459
2000-06-13,19.72,33.92,5.14,3.8753
2000-06-13,18.77,33.246,5.49,2.7113
2000-06-13,19.28,33.85,5.43,3.1955
2000-06-13,18.38,33.169000000000004,5.91,2.2242
2000-06-13,18.01,33.683,6.15,1.8518
2000-06-13,18.68,33.63,5.43,2.62
2000-06-13,18.12,33.54,5.54,2.1289
2000-06-13,18.45,33.101,5.86,2.3019
2000-06-13,18.38,33.507,6.38,2.0418
2000-06-13,17.73,33.44,5.54,1.8662
2000-06-13,18.13,33.024,6.03,2.0113
2000-06-13,17.7,33.55,5.65,1.8083
2000-06-13,16.84,33.54,5.54,1.365
2000-06-13,17.07,33.62,5.56,1.4702
2000-06-13,18.1,32.908,5.74,2.0921
2000-06-13,18.29,32.897,5.88,2.186
2000-06-14,21.06,32.912,5.13,6.288
2000-06-14,21.46,32.336999999999996,5.5,6.9111
2000-06-14,21.21,32.253,5.13,6.7475
2000-06-14,20.62,33.149,5.3,5.2521
2000-06-14,18.13,32.96,5.74,2.1102
2000-06-14,17.2,33.135,5.86,1.4906
2000-06-14,17.68,33.318000000000005,6.02,1.7066
2000-06-14,17.66,33.269,6.03,1.6949
2000-06-14,16.76,33.289,6.16,1.2126
2000-06-14,15.5,33.332,6.11,0.7855
2000-06-14,17.47,32.995,5.86,1.645
2000-06-14,17.78,33.699,5.94,1.7668
2000-06-14,20.04,33.501,5.37,4.2256
2000-06-15,17.92,33.61,5.67,1.9415
2000-06-15,18.38,33.65,5.65,2.2806
2000-06-15,18.17,33.65,5.52,2.165
2000-06-15,17.68,33.69,5.64,1.7902
2000-06-15,17.61,33.63,5.87,1.688
2000-06-15,18.46,33.65,5.98,2.2254
2000-06-15,19.22,32.691,6.66,2.6822
2000-06-15,17.89,33.007,6.67,1.673
2000-06-15,18.45,33.14,5.84,2.3062
2000-06-15,18.43,32.577,6.12,2.2327
2000-06-15,18.29,33.12,5.76,2.2114
2000-06-15,18.67,32.476,5.54,2.6663
2000-06-15,16.72,33.55,5.64,1.2879
2000-06-15,18.43,32.666,5.55,2.4356
2000-06-15,15.25,33.54,5.8,0.7509
2000-06-15,19.78,32.481,5.52,3.9084
2000-06-16,20.05,32.455999999999996,5.44,4.3397
2000-06-16,20.2,32.428000000000004,5.37,4.6188
2000-06-16,20.23,32.459,5.64,4.4711
2000-06-16,18.13,33.13,5.66,2.125
2000-06-16,20.65,32.374,5.48,5.2917
2000-06-16,21.53,32.537,5.49,7.0378
2000-06-16,20.69,32.344,5.43,5.4094
2000-06-16,21.81,32.499,5.69,7.4954
2000-06-16,20.48,32.369,5.44,5.0302
2000-06-16,21.59,33.156,5.11,7.4509
2000-06-16,20.27,32.376,5.49,4.6503
2000-06-16,22.32,32.656,5.18,9.4856
2000-06-16,14.03,32.443000000000005,5.96,0.4949
2000-06-16,22.19,32.402,5.14,9.2243
2000-06-16,17.43,32.713,6.38,1.5078
2000-06-16,22.02,32.625,5.44,8.2969
2000-06-16,16.72,32.714,6.38,1.1771
2000-06-16,21.8,32.379,5.36,7.8775
2000-06-16,21.65,32.509,5.43,7.3929
2000-06-16,21.44,33.357,5.25,6.9019
2000-06-16,21.13,33.045,5.74,5.8419
2000-06-16,20.82,32.626999999999995,5.33,5.6841
2000-06-16,20.99,32.622,5.41,5.9431
2000-06-17,20.88,32.278,5.36,5.8374
2000-06-17,20.75,30.798000000000002,5.57,5.6777
2000-06-17,20.69,31.116,5.49,5.5762
2000-06-17,20.53,31.513,5.43,5.2668
2000-06-17,20.22,32.219,5.52,4.5748
2000-06-17,20.08,32.038000000000004,5.48,4.4166
2000-06-17,19.77,32.332,5.67,3.8241
2000-06-17,19.82,32.45,5.52,3.9658
2000-06-17,20.06,32.903,5.27,4.4056
