Observation Date,Temperature,Temperature_Probability,Salinity,Salinity_Probability,Dissolved Oxygen,Oxygen_Probability,Phosphate Phosphorus,Phosphate_Probability,Nitrous Acid Nitrogen,Nitrous_Probability,Nitric Acid Nitrogen,Nitric_Probability,Silicic Acid Silicon,Silicic_Probability
2000-02-11,10.66,0.143,34.18,0.0001,6.25,0.0035,0.03,0.0048,0.83,0.0045,2.77,0.004,10.76,0.0039
2000-02-12,16.15,0.51,34.562,0.0001,5.6,0.0036,0.27,0.0053,0.3,0.0046,3.07,0.0039,11.48,0.0038
2000-02-12,12.18,0.2169,34.14,0.0001,5.82,0.0036,0.02,0.0048,0.77,0.0045,2.68,0.004,9.51,0.004
2000-02-12,16.91,0.5728,34.537,0.0001,5.4,0.0037,0.06,0.0049,0.57,0.0046,3.0,0.0039,11.0,0.0038
2000-02-12,16.69,0.5548,34.56,0.0001,5.63,0.0036,0.12,0.005,0.42,0.0046,1.98,0.0042,9.41,0.004
2000-02-12,15.92,0.4908,34.431999999999995,0.0001,5.53,0.0036,0.06,0.0049,0.14,0.0047,2.2,0.0041,10.84,0.0039
2000-02-12,15.21,0.432,34.195,0.0001,5.67,0.0036,0.12,0.005,0.17,0.0047,2.53,0.0041,11.49,0.0038
2000-02-13,14.19,0.3512,34.138000000000005,0.0001,5.76,0.0036,0.2,0.0051,0.18,0.0047,2.95,0.004,11.72,0.0038
2000-02-13,12.11,0.213,33.567,0.0001,5.86,0.0036,0.14,0.005,0.16,0.0047,2.61,0.004,12.62,0.0037
2000-02-13,13.2,0.2801,34.013000000000005,0.0001,5.91,0.0036,0.35,0.0054,0.16,0.0047,2.54,0.0041,14.46,0.0036
2000-02-13,13.71,0.3157,34.246,0.0001,5.75,0.0036,0.35,0.0054,0.16,0.0047,1.41,0.0044,14.27,0.0036
2000-02-13,14.09,0.3437,34.507,0.0001,5.66,0.0036,0.25,0.0052,0.2,0.0047,2.31,0.0041,13.13,0.0037
2000-02-14,13.17,0.2781,34.461,0.0001,5.87,0.0036,0.32,0.0054,0.13,0.0047,1.38,0.0044,11.51,0.0038
2000-02-14,11.99,0.2063,33.745,0.0001,5.97,0.0036,0.41,0.0055,0.26,0.0047,5.08,0.0035,12.67,0.0037
2000-02-14,9.92,0.1153,33.668,0.0001,6.22,0.0035,0.14,0.005,0.17,0.0047,3.68,0.0038,13.14,0.0037
2000-02-18,10.79,0.1484,34.16,0.0001,5.84,0.0036,0.03,0.0048,0.82,0.0045,3.16,0.0039,13.15,0.0037
2000-02-18,10.82,0.1497,34.21,0.0001,5.86,0.0036,0.02,0.0048,0.86,0.0045,3.88,0.0037,13.05,0.0037
2000-02-18,10.89,0.1526,34.29,0.0001,6.28,0.0035,0.03,0.0048,0.77,0.0045,2.8,0.004,11.21,0.0038
2000-02-18,11.48,0.1799,34.18,0.0001,5.91,0.0036,0.02,0.0048,0.55,0.0046,3.16,0.0039,9.89,0.0039
2000-02-18,12.41,0.2302,34.13,0.0001,5.6,0.0036,0.01,0.0048,0.66,0.0045,3.58,0.0038,9.91,0.0039
2000-02-22,2.79,0.012,31.354,0.0001,7.55,0.0033,0.36,0.0054,0.27,0.0047,12.69,0.0022,10.0,0.0039
2000-02-22,3.82,0.0168,31.965999999999998,0.0001,7.27,0.0033,0.62,0.006,0.28,0.0047,7.38,0.003,5.36,0.0043
2000-02-22,5.23,0.0266,32.4,0.0001,7.01,0.0034,0.17,0.0051,0.39,0.0046,5.27,0.0034,4.07,0.0044
2000-02-22,6.16,0.0359,32.465,0.0001,6.8,0.0034,0.6,0.0059,0.92,0.0045,3.94,0.0037,8.34,0.004
2000-02-23,6.59,0.0412,32.54,0.0001,6.6,0.0034,0.31,0.0053,0.43,0.0046,5.14,0.0035,9.64,0.0039
2000-02-23,16.05,0.5016,34.12,0.0001,5.15,0.0037,0.32,0.0054,0.44,0.0046,2.09,0.0042,5.66,0.0043
2000-02-23,6.37,0.0384,32.54,0.0001,6.62,0.0034,0.57,0.0059,0.37,0.0046,5.15,0.0035,9.87,0.0039
2000-02-23,4.94,0.0242,32.241,0.0001,6.95,0.0034,0.76,0.0063,0.26,0.0047,6.6,0.0032,8.41,0.004
2000-02-23,14.14,0.3474,33.88,0.0001,5.47,0.0036,0.58,0.0059,0.47,0.0046,3.45,0.0038,7.71,0.0041
2000-02-23,4.46,0.0207,31.95300000000001,0.0001,7.23,0.0033,0.56,0.0059,0.4,0.0046,8.73,0.0028,8.36,0.004
2000-02-23,4.17,0.0188,31.829,0.0001,7.07,0.0034,0.64,0.006,1.71,0.0042,8.75,0.0028,8.58,0.004
2000-02-23,10.94,0.1548,34.25,0.0001,5.81,0.0036,0.03,0.0048,0.86,0.0045,2.71,0.004,13.97,0.0036
2000-02-23,11.34,0.1731,33.07,0.0001,5.72,0.0036,0.62,0.006,0.24,0.0047,4.61,0.0036,11.76,0.0038
2000-02-23,11.19,0.166,34.23,0.0001,5.83,0.0036,0.03,0.0048,0.73,0.0045,2.62,0.004,10.8,0.0039
2000-02-23,9.85,0.113,32.48,0.0001,6.41,0.0035,0.59,0.0059,0.3,0.0046,2.9,0.004,12.5,0.0037
2000-02-23,11.37,0.1745,34.29,0.0001,6.09,0.0035,0.01,0.0048,0.62,0.0045,3.43,0.0038,9.13,0.004
2000-02-23,9.91,0.115,32.82,0.0001,6.33,0.0035,0.75,0.0063,0.27,0.0047,6.45,0.0032,12.5,0.0037
2000-02-23,11.44,0.1779,34.15,0.0001,5.64,0.0036,0.03,0.0048,0.68,0.0045,4.24,0.0037,9.85,0.0039
2000-02-23,10.94,0.1548,34.25,0.0001,5.81,0.0036,0.03,0.0048,0.86,0.0045,2.71,0.004,13.97,0.0036
2000-02-29,5.04,0.025,32.123000000000005,0.0001,7.29,0.0033,0.13,0.005,0.78,0.0045,8.45,0.0028,8.25,0.0041
2000-02-29,11.09,0.1615,34.18,0.0001,5.81,0.0036,0.06,0.0049,0.75,0.0045,4.79,0.0035,9.58,0.004
2000-02-29,16.57,0.5449,34.6,0.0001,5.88,0.0036,0.31,0.0053,0.44,0.0046,5.71,0.0033,5.19,0.0043
2000-02-29,6.02,0.0343,32.454,0.0001,6.84,0.0034,0.68,0.0061,0.32,0.0046,5.97,0.0033,9.49,0.004
2000-02-29,14.67,0.3885,33.72,0.0001,5.72,0.0036,0.26,0.0052,0.39,0.0046,3.02,0.0039,5.51,0.0043
2000-02-29,6.6,0.0413,32.545,0.0001,6.88,0.0034,0.66,0.0061,0.35,0.0046,8.78,0.0028,10.88,0.0039
2000-02-29,7.01,0.0471,32.605,0.0001,6.5,0.0035,0.28,0.0053,0.67,0.0045,8.22,0.0029,9.72,0.0039
2000-02-29,12.57,0.2398,33.52,0.0001,5.55,0.0036,0.77,0.0063,0.24,0.0047,3.91,0.0037,8.44,0.004
2000-03-01,9.67,0.1071,32.82,0.0001,6.37,0.0035,0.38,0.0055,0.26,0.0047,5.26,0.0034,11.07,0.0038
2000-03-01,7.1,0.0484,32.625,0.0001,6.42,0.0035,0.76,0.0063,0.38,0.0046,6.19,0.0032,9.96,0.0039
2000-03-01,10.88,0.1522,34.17,0.0001,5.63,0.0036,0.07,0.0049,0.62,0.0045,3.65,0.0038,10.51,0.0039
2000-03-01,10.88,0.1522,34.17,0.0001,5.63,0.0036,0.07,0.0049,0.62,0.0045,3.65,0.0038,10.51,0.0039
2000-03-01,6.56,0.0408,32.543,0.0001,6.63,0.0034,0.03,0.0048,0.38,0.0046,6.74,0.0031,10.49,0.0039
2000-03-01,8.59,0.0772,32.79,0.0001,6.33,0.0035,0.63,0.006,0.35,0.0046,8.72,0.0028,15.23,0.0035
2000-03-01,5.96,0.0336,32.407,0.0001,6.72,0.0034,2.22,0.0109,0.4,0.0046,8.07,0.0029,9.73,0.0039
2000-03-01,8.76,0.0813,33.176,0.0001,5.99,0.0035,0.67,0.0061,0.43,0.0046,6.64,0.0032,10.28,0.0039
2000-03-01,10.9,0.1531,34.21,0.0001,5.79,0.0036,0.15,0.005,0.44,0.0046,3.48,0.0038,11.35,0.0038
2000-03-01,4.61,0.0217,32.107,0.0001,6.79,0.0034,0.9,0.0067,0.62,0.0045,8.16,0.0029,8.18,0.0041
2000-03-01,10.75,0.1467,34.23,0.0001,5.98,0.0036,0.04,0.0048,0.43,0.0046,2.75,0.004,11.75,0.0038
2000-03-01,5.44,0.0284,32.247,0.0001,6.77,0.0034,1.08,0.0071,0.7,0.0045,8.22,0.0029,8.66,0.004
2000-03-01,10.45,0.1346,34.28,0.0001,6.2,0.0035,0.12,0.005,0.41,0.0046,3.91,0.0037,13.42,0.0037
2000-03-01,14.09,0.3437,34.34,0.0001,5.51,0.0036,0.53,0.0058,0.37,0.0046,4.58,0.0036,8.6,0.004
2000-03-01,8.76,0.0813,33.176,0.0001,5.99,0.0035,0.67,0.0061,0.43,0.0046,6.64,0.0032,10.28,0.0039
2000-03-01,10.72,0.1455,34.19,0.0001,6.24,0.0035,0.13,0.005,0.46,0.0046,3.67,0.0038,11.99,0.0038
2000-03-01,6.31,0.0376,32.443000000000005,0.0001,6.46,0.0035,1.22,0.0075,0.43,0.0046,7.05,0.0031,10.21,0.0039
2000-03-01,14.69,0.3901,34.09,0.0001,5.63,0.0036,0.27,0.0053,0.45,0.0046,2.91,0.004,7.3,0.0041
2000-03-01,7.61,0.0569,32.733000000000004,0.0001,6.39,0.0035,1.26,0.0076,0.56,0.0046,6.71,0.0031,10.69,0.0039
2000-03-01,16.11,0.5066,34.03,0.0001,4.98,0.0037,0.48,0.0057,0.64,0.0045,2.19,0.0041,6.61,0.0042
2000-03-01,7.85,0.0614,32.693000000000005,0.0001,6.45,0.0035,0.95,0.0068,0.37,0.0046,6.72,0.0031,11.03,0.0038
2000-03-02,7.66,0.0578,32.631,0.0001,6.31,0.0035,0.74,0.0063,0.33,0.0046,5.49,0.0034,9.43,0.004
2000-03-02,6.66,0.0421,32.497,0.0001,6.54,0.0035,0.79,0.0064,0.47,0.0046,6.59,0.0032,8.83,0.004
2000-03-03,12.26,0.2215,34.49,0.0001,5.84,0.0036,0.15,0.005,0.34,0.0046,3.54,0.0038,13.79,0.0036
2000-03-03,11.09,0.1615,34.18,0.0001,6.15,0.0035,0.06,0.0049,0.31,0.0046,3.7,0.0038,12.45,0.0037
2000-03-03,10.19,0.1248,34.19,0.0001,6.15,0.0035,0.13,0.005,0.44,0.0046,4.46,0.0036,11.97,0.0038
2000-03-04,11.16,0.1647,34.22,0.0001,6.22,0.0035,0.07,0.0049,0.31,0.0046,3.11,0.0039,11.35,0.0038
2000-03-04,13.41,0.2945,34.51,0.0001,5.81,0.0036,0.12,0.005,0.56,0.0046,2.59,0.004,14.11,0.0036
2000-03-04,11.99,0.2063,34.46,0.0001,6.04,0.0035,0.15,0.005,0.49,0.0046,2.76,0.004,13.57,0.0037
2000-03-04,12.92,0.2617,34.43,0.0001,5.86,0.0036,0.04,0.0048,0.66,0.0045,1.07,0.0044,10.27,0.0039
2000-03-04,13.47,0.2987,34.52,0.0001,5.87,0.0036,0.04,0.0048,0.73,0.0045,4.09,0.0037,8.7,0.004
2000-03-05,13.96,0.334,34.54,0.0001,6.17,0.0035,0.08,0.0049,0.48,0.0046,0.87,0.0045,7.42,0.0041
2000-03-05,12.35,0.2267,34.4,0.0001,6.14,0.0035,0.08,0.0049,0.61,0.0045,1.68,0.0043,10.22,0.0039
2000-03-05,12.35,0.2267,34.4,0.0001,6.14,0.0035,0.08,0.0049,0.61,0.0045,1.68,0.0043,10.22,0.0039
2000-04-03,13.19,0.2795,34.395,0.0001,6.51,0.0035,0.05,0.0048,0.22,0.0047,3.18,0.0039,3.12,0.0045
2000-04-03,13.71,0.3157,34.508,0.0001,6.42,0.0035,0.06,0.0049,0.18,0.0047,2.58,0.0041,2.76,0.0045
2000-04-03,13.97,0.3347,34.497,0.0001,6.45,0.0035,0.02,0.0048,0.11,0.0047,1.17,0.0044,3.3,0.0045
2000-04-03,13.45,0.2973,34.416,0.0001,6.51,0.0035,0.08,0.0049,0.05,0.0047,3.61,0.0038,2.07,0.0046
2000-04-03,12.27,0.222,34.398,0.0001,6.3,0.0035,0.03,0.0048,0.12,0.0047,4.62,0.0036,3.46,0.0044
2000-04-03,11.3,0.1712,34.126,0.0001,6.98,0.0034,0.01,0.0048,0.04,0.0047,4.22,0.0037,1.54,0.0046
2000-04-04,11.29,0.1707,34.269,0.0001,6.33,0.0035,0.06,0.0049,0.09,0.0047,3.2,0.0039,0.71,0.0047
2000-04-04,13.48,0.2993,34.336,0.0001,6.33,0.0035,0.07,0.0049,0.32,0.0046,2.2,0.0041,5.26,0.0043
2000-04-04,14.97,0.4125,34.468,0.0001,5.67,0.0036,0.02,0.0048,0.67,0.0045,1.16,0.0044,4.58,0.0044
2000-04-04,10.69,0.1442,34.44,0.0001,6.22,0.0035,0.23,0.0052,0.15,0.0047,2.78,0.004,14.61,0.0036
2000-04-04,10.21,0.1256,34.39,0.0001,6.29,0.0035,0.24,0.0052,0.18,0.0047,2.65,0.004,14.88,0.0036
2000-04-04,14.02,0.3384,34.293,0.0001,5.81,0.0036,0.08,0.0049,0.44,0.0046,3.11,0.0039,5.83,0.0042
2000-04-04,9.98,0.1174,33.588,0.0001,6.57,0.0035,0.02,0.0048,0.25,0.0047,2.98,0.004,8.3,0.0041
2000-04-04,10.38,0.1319,33.638000000000005,0.0001,6.27,0.0035,0.14,0.005,0.31,0.0046,3.14,0.0039,8.91,0.004
2000-04-04,13.67,0.3128,34.181,0.0001,5.84,0.0036,0.07,0.0049,0.17,0.0047,1.87,0.0042,5.25,0.0043
2000-04-04,15.23,0.4337,34.35,0.0001,5.95,0.0036,0.04,0.0048,0.48,0.0046,1.69,0.0043,5.27,0.0043
2000-04-06,12.3,0.2238,34.47,0.0001,6.04,0.0035,0.22,0.0052,0.22,0.0047,3.56,0.0038,16.38,0.0035
2000-04-06,7.75,0.0595,34.13,0.0001,6.37,0.0035,0.43,0.0056,0.25,0.0047,3.57,0.0038,16.33,0.0035
2000-04-07,15.01,0.4158,34.328,0.0001,5.77,0.0036,0.06,0.0049,0.49,0.0046,2.04,0.0042,3.72,0.0044
2000-04-07,15.28,0.4378,34.525,0.0001,5.72,0.0036,0.04,0.0048,0.28,0.0047,1.59,0.0043,5.18,0.0043
2000-04-07,15.87,0.4866,34.698,0.0001,5.78,0.0036,0.11,0.0049,0.14,0.0047,1.37,0.0044,3.72,0.0044
2000-04-07,15.75,0.4766,34.396,0.0001,5.54,0.0036,0.08,0.0049,0.12,0.0047,1.83,0.0042,4.85,0.0043
2000-04-07,14.05,0.3407,33.974000000000004,0.0001,5.88,0.0036,0.06,0.0049,0.43,0.0046,2.62,0.004,5.32,0.0043
2000-04-07,13.03,0.2689,33.787,0.0001,6.07,0.0035,0.17,0.0051,0.16,0.0047,3.08,0.0039,7.44,0.0041
2000-04-08,10.9,0.1531,32.943000000000005,0.0001,6.45,0.0035,0.05,0.0048,0.12,0.0047,1.74,0.0043,9.32,0.004
2000-04-08,10.42,0.1335,33.146,0.0001,6.55,0.0035,0.1,0.0049,0.09,0.0047,2.07,0.0042,7.16,0.0041
2000-04-08,11.04,0.1592,33.493,0.0001,6.42,0.0035,0.17,0.0051,0.03,0.0047,1.44,0.0043,5.51,0.0043
2000-04-08,11.16,0.1647,33.338,0.0001,6.45,0.0035,0.17,0.0051,0.05,0.0047,1.11,0.0044,7.36,0.0041
2000-04-08,13.17,0.2781,33.965,0.0001,5.89,0.0036,0.18,0.0051,0.21,0.0047,2.23,0.0041,6.91,0.0042
2000-04-08,13.54,0.3036,34.46,0.0001,6.18,0.0035,0.39,0.0055,0.38,0.0046,3.52,0.0038,15.79,0.0035
2000-04-08,12.5,0.2356,34.47,0.0001,6.44,0.0035,0.36,0.0054,0.37,0.0046,3.94,0.0037,15.47,0.0035
2000-04-08,13.24,0.2828,34.45,0.0001,6.32,0.0035,0.49,0.0057,0.22,0.0047,4.34,0.0036,14.98,0.0036
2000-04-09,11.94,0.2036,34.49,0.0001,6.33,0.0035,0.45,0.0056,0.24,0.0047,2.75,0.004,14.7,0.0036
2000-04-09,10.72,0.1455,34.43,0.0001,6.28,0.0035,0.32,0.0054,0.21,0.0047,2.48,0.0041,14.63,0.0036
2000-04-09,12.4,0.2296,34.02,0.0001,6.06,0.0035,0.14,0.005,0.25,0.0047,1.63,0.0043,6.9,0.0042
2000-04-09,9.81,0.1116,34.38,0.0001,6.48,0.0035,0.33,0.0054,0.25,0.0047,2.94,0.004,14.91,0.0036
2000-04-09,10.66,0.143,33.68,0.0001,6.07,0.0035,0.19,0.0051,0.19,0.0047,5.93,0.0033,8.58,0.004
2000-04-09,9.97,0.117,33.419000000000004,0.0001,6.23,0.0035,0.34,0.0054,0.06,0.0047,5.0,0.0035,8.1,0.0041
2000-04-09,10.38,0.1319,34.42,0.0001,6.15,0.0035,0.27,0.0053,0.25,0.0047,4.11,0.0037,14.92,0.0036
2000-04-09,10.55,0.1386,34.42,0.0001,6.1,0.0035,0.29,0.0053,0.23,0.0047,4.61,0.0036,14.48,0.0036
2000-04-09,11.77,0.1946,34.46,0.0001,6.18,0.0035,0.2,0.0051,0.22,0.0047,4.84,0.0035,14.34,0.0036
2000-04-14,12.42,0.2308,34.49,0.0001,6.21,0.0035,0.36,0.0054,0.29,0.0047,3.58,0.0038,14.7,0.0036
2000-04-14,11.3,0.1712,34.3,0.0001,6.29,0.0035,0.36,0.0054,0.34,0.0046,3.8,0.0038,15.02,0.0036
2000-04-14,11.24,0.1684,34.29,0.0001,6.38,0.0035,0.36,0.0054,0.37,0.0046,3.51,0.0038,17.33,0.0034
2000-04-15,11.67,0.1894,34.37,0.0001,6.28,0.0035,0.32,0.0054,0.33,0.0046,4.44,0.0036,16.12,0.0035
2000-04-15,11.27,0.1698,34.28,0.0001,6.27,0.0035,0.22,0.0052,0.3,0.0046,4.11,0.0037,15.27,0.0035
2000-04-15,13.43,0.2959,34.46,0.0001,6.34,0.0035,0.39,0.0055,0.29,0.0047,3.21,0.0039,16.0,0.0035
2000-04-15,11.69,0.1904,34.45,0.0001,6.74,0.0034,0.22,0.0052,0.23,0.0047,3.44,0.0038,17.11,0.0034
2000-04-15,11.95,0.2041,34.43,0.0001,6.7,0.0034,0.23,0.0052,0.25,0.0047,3.94,0.0037,17.52,0.0034
2000-04-16,13.15,0.2768,34.43,0.0001,6.04,0.0035,0.19,0.0051,0.23,0.0047,4.34,0.0036,17.93,0.0034
2000-04-16,13.56,0.305,34.45,0.0001,6.35,0.0035,0.13,0.005,0.21,0.0047,4.42,0.0036,17.05,0.0034
2000-04-16,12.45,0.2326,34.45,0.0001,6.17,0.0035,0.12,0.005,0.41,0.0046,3.62,0.0038,17.22,0.0034
2000-04-16,12.09,0.2118,34.41,0.0001,6.17,0.0035,0.28,0.0053,0.47,0.0046,3.14,0.0039,16.73,0.0034
2000-04-17,13.26,0.2842,34.56,0.0001,6.13,0.0035,0.32,0.0054,0.45,0.0046,3.89,0.0037,17.45,0.0034
2000-04-17,14.06,0.3414,34.59,0.0001,6.03,0.0035,0.17,0.0051,0.32,0.0046,4.84,0.0035,18.81,0.0033
2000-04-17,12.2,0.218,34.32,0.0001,6.19,0.0035,0.18,0.0051,0.31,0.0046,5.19,0.0034,20.42,0.0032
2000-04-17,11.39,0.1755,34.38,0.0001,6.2,0.0035,0.19,0.0051,0.32,0.0046,5.98,0.0033,20.1,0.0032
2000-04-17,12.82,0.2553,34.33,0.0001,6.17,0.0035,0.17,0.0051,0.34,0.0046,5.12,0.0035,20.38,0.0032
2000-04-17,13.65,0.3114,34.43,0.0001,6.22,0.0035,0.15,0.005,0.36,0.0046,5.54,0.0034,20.52,0.0032
2000-04-19,8.29,0.0704,32.27,0.0001,7.06,0.0034,0.89,0.0066,0.41,0.0046,8.54,0.0028,9.96,0.0039
2000-04-20,10.17,0.1241,33.124,0.0001,7.35,0.0033,0.74,0.0063,2.18,0.0041,2.63,0.004,4.98,0.0043
2000-04-20,8.72,0.0804,32.681,0.0001,7.15,0.0034,0.9,0.0067,0.25,0.0047,5.86,0.0033,8.43,0.004
2000-04-20,9.27,0.095,32.819,0.0001,6.8,0.0034,0.97,0.0068,0.13,0.0047,5.82,0.0033,9.37,0.004
2000-04-20,9.25,0.0944,32.663000000000004,0.0001,6.94,0.0034,0.68,0.0061,0.33,0.0046,5.44,0.0034,9.41,0.004
2000-04-20,9.74,0.1093,32.628,0.0001,7.99,0.0032,0.58,0.0059,0.24,0.0047,1.19,0.0044,3.78,0.0044
2000-04-20,9.34,0.097,32.629,0.0001,7.31,0.0033,0.52,0.0058,0.3,0.0046,3.09,0.0039,8.45,0.004
2000-04-24,14.39,0.3666,34.56,0.0001,5.97,0.0036,0.22,0.0052,0.38,0.0046,5.08,0.0035,20.68,0.0032
2000-04-24,10.39,0.1323,32.128,0.0001,6.68,0.0034,0.65,0.0061,0.48,0.0046,6.97,0.0031,6.86,0.0042
2000-04-24,9.92,0.1153,32.523,0.0001,7.99,0.0032,0.44,0.0056,0.35,0.0046,0.78,0.0045,0.44,0.0047
2000-04-24,14.41,0.3681,34.46,0.0001,6.17,0.0035,0.24,0.0052,0.32,0.0046,5.84,0.0033,21.01,0.0032
2000-04-24,9.87,0.1136,32.554,0.0001,7.67,0.0033,0.37,0.0055,0.27,0.0047,0.2,0.0047,0.41,0.0047
2000-04-24,11.75,0.1935,34.18,0.0001,6.27,0.0035,0.21,0.0051,0.32,0.0046,6.11,0.0033,20.81,0.0032
2000-04-24,10.13,0.1227,32.528,0.0001,7.25,0.0033,0.34,0.0054,0.35,0.0046,0.32,0.0047,2.38,0.0045
2000-04-25,9.37,0.0979,32.455999999999996,0.0001,7.34,0.0033,0.32,0.0054,0.49,0.0046,0.32,0.0047,1.11,0.0046
2000-04-25,9.17,0.0922,32.471,0.0001,7.05,0.0034,0.54,0.0058,0.21,0.0047,0.1,0.0047,1.67,0.0046
2000-04-25,9.05,0.0889,32.417,0.0001,7.4,0.0033,0.43,0.0056,0.64,0.0045,0.4,0.0046,0.43,0.0047
2000-04-25,7.87,0.0617,32.16,0.0001,7.68,0.0033,0.72,0.0062,0.59,0.0046,1.34,0.0044,0.87,0.0047
2000-04-25,8.8,0.0823,31.737,0.0001,7.47,0.0033,0.6,0.0059,0.28,0.0047,0.62,0.0046,0.63,0.0047
2000-04-28,8.7,0.0799,31.705,0.0001,7.78,0.0033,0.58,0.0059,1.06,0.0044,3.59,0.0038,1.47,0.0046
2000-04-28,8.64,0.0784,31.916,0.0001,7.65,0.0033,0.7,0.0062,0.33,0.0046,1.61,0.0043,0.98,0.0047
2000-04-28,9.32,0.0964,32.283,0.0001,7.07,0.0034,0.43,0.0056,0.24,0.0047,0.4,0.0046,0.57,0.0047
2000-04-28,10.21,0.1256,32.368,0.0001,6.97,0.0034,0.53,0.0058,0.71,0.0045,0.34,0.0047,1.43,0.0046
2000-04-28,9.92,0.1153,32.41,0.0001,6.98,0.0034,0.35,0.0054,0.35,0.0046,0.29,0.0047,4.65,0.0043
2000-04-29,9.14,0.0913,32.083,0.0001,7.24,0.0033,0.29,0.0053,0.92,0.0045,0.75,0.0045,0.41,0.0047
2000-04-29,9.18,0.0924,31.875,0.0001,7.71,0.0033,0.39,0.0055,0.23,0.0047,0.87,0.0045,0.3,0.0047
2000-04-29,7.88,0.0619,31.493000000000002,0.0001,7.2,0.0033,0.96,0.0068,2.22,0.0041,9.72,0.0026,4.59,0.0043
2000-06-07,15.95,0.4933,33.55,0.0001,6.11,0.0035,0.53,0.0058,0.6,0.0046,3.88,0.0037,4.03,0.0044
2000-06-07,16.83,0.5663,33.61,0.0001,6.07,0.0035,0.43,0.0056,0.61,0.0045,2.37,0.0041,4.42,0.0044
2000-06-07,17.78,0.6418,34.21,0.0001,5.86,0.0036,0.32,0.0054,0.63,0.0045,2.71,0.004,5.41,0.0043
2000-06-08,18.25,0.677,34.22,0.0001,5.78,0.0036,0.29,0.0053,0.62,0.0045,2.59,0.004,5.07,0.0043
2000-06-08,18.92,0.7238,34.31,0.0001,5.6,0.0036,0.25,0.0052,0.52,0.0046,3.95,0.0037,3.94,0.0044
2000-06-08,18.11,0.6667,34.32,0.0001,5.54,0.0036,0.29,0.0053,0.51,0.0046,4.39,0.0036,4.63,0.0043
2000-06-08,18.85,0.7191,34.31,0.0001,5.3,0.0037,0.27,0.0053,0.53,0.0046,4.78,0.0035,5.27,0.0043
2000-06-08,18.25,0.677,34.24,0.0001,5.42,0.0036,0.45,0.0056,0.54,0.0046,2.9,0.004,6.01,0.0042
