Observation Date,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon,Probability
2000-03-01,0.12,0.41,3.91,13.42,0.0291
2000-03-01,0.7,0.44,5.99,9.74,0.0318
2000-03-01,0.53,0.37,4.58,8.6,0.0472
2000-03-01,0.67,0.43,6.64,10.28,0.0273
2000-03-01,0.13,0.46,3.67,11.99,0.0328
2000-03-01,1.22,0.43,7.05,10.21,0.0283
2000-03-01,0.27,0.45,2.91,7.3,0.0605
2000-03-01,1.26,0.56,6.71,10.69,0.0244
2000-03-01,0.48,0.64,2.19,6.61,0.0595
2000-03-01,0.95,0.37,6.72,11.03,0.0283
2000-03-02,0.74,0.33,5.49,9.43,0.041
2000-03-02,0.79,0.47,6.59,8.83,0.0308
2000-03-03,0.15,0.34,3.54,13.79,0.0327
2000-03-03,0.06,0.31,3.7,12.45,0.0371
2000-03-03,0.13,0.44,4.46,11.97,0.0296
2000-03-04,0.07,0.31,3.11,11.35,0.0455
2000-03-04,0.12,0.56,2.59,14.11,0.0279
2000-03-04,0.15,0.49,2.76,13.57,0.0314
2000-03-04,0.04,0.66,1.07,10.27,0.0453
2000-03-04,0.04,0.73,4.09,8.7,0.0298
2000-03-05,0.08,0.48,0.87,7.42,0.0769
2000-03-05,0.08,0.61,1.68,10.22,0.0442
2000-03-05,0.08,0.61,1.68,10.22,0.0442
2000-04-03,0.05,0.22,3.18,3.12,0.1087
2000-04-03,0.06,0.18,2.58,2.76,0.1286
2000-04-03,0.02,0.11,1.17,3.3,0.1612
2000-04-03,0.08,0.05,3.61,2.07,0.1366
2000-04-03,0.03,0.12,4.62,3.46,0.095
2000-04-03,0.01,0.04,4.22,1.54,0.1311
2000-04-04,0.06,0.09,3.2,0.71,0.1555
2000-04-04,0.07,0.32,2.2,5.26,0.0925
2000-04-04,0.02,0.67,1.16,4.58,0.0758
2000-04-04,0.23,0.15,2.78,14.61,0.0437
2000-04-04,0.24,0.18,2.65,14.88,0.042
2000-04-04,0.08,0.44,3.11,5.83,0.0662
2000-04-04,0.02,0.25,2.98,8.3,0.0665
2000-04-04,0.14,0.31,3.14,8.91,0.058
2000-04-04,0.07,0.17,1.87,5.25,0.1157
2000-04-04,0.04,0.48,1.69,5.27,0.0824
2000-04-06,0.22,0.22,3.56,16.38,0.0297
2000-04-06,0.43,0.25,3.57,16.33,0.0297
2000-04-07,0.06,0.49,2.04,3.72,0.0894
2000-04-07,0.04,0.28,1.59,5.18,0.1065
2000-04-07,0.11,0.14,1.37,3.72,0.1482
2000-04-07,0.08,0.12,1.83,4.85,0.1279
2000-04-07,0.06,0.43,2.62,5.32,0.0756
2000-04-07,0.17,0.16,3.08,7.44,0.081
2000-04-08,0.05,0.12,1.74,9.32,0.0858
2000-04-08,0.1,0.09,2.07,7.16,0.104
2000-04-08,0.17,0.03,1.44,5.51,0.1431
2000-04-08,0.17,0.05,1.11,7.36,0.1247
2000-04-08,0.18,0.21,2.23,6.91,0.0915
2000-04-08,0.39,0.38,3.52,15.79,0.0267
2000-04-08,0.36,0.37,3.94,15.47,0.0259
2000-04-08,0.49,0.22,4.34,14.98,0.0314
2000-04-09,0.45,0.24,2.75,14.7,0.0404
2000-04-09,0.32,0.21,2.48,14.63,0.0432
2000-04-09,0.14,0.25,1.63,6.9,0.0951
2000-04-09,0.33,0.25,2.94,14.91,0.0372
2000-04-09,0.19,0.19,5.93,8.58,0.0449
2000-04-09,0.34,0.06,5.0,8.1,0.0655
2000-04-09,0.27,0.25,4.11,14.92,0.0304
2000-04-09,0.29,0.23,4.61,14.48,0.0302
2000-04-09,0.2,0.22,4.84,14.34,0.0294
2000-04-10,0.43,0.21,2.03,5.21,0.1146
2000-04-10,0.21,0.41,1.71,3.61,0.1067
2000-04-14,0.36,0.29,3.58,14.7,0.0327
2000-04-14,0.36,0.34,3.8,15.02,0.0288
2000-04-14,0.36,0.37,3.51,17.33,0.0231
2000-04-15,0.32,0.33,4.44,16.12,0.0234
2000-04-15,0.22,0.3,4.11,15.27,0.0274
2000-04-15,0.39,0.29,3.21,16.0,0.0307
2000-04-15,0.22,0.23,3.44,17.11,0.0278
2000-04-15,0.23,0.25,3.94,17.52,0.024
2000-04-16,0.19,0.23,4.34,17.93,0.022
2000-04-16,0.13,0.21,4.42,17.05,0.0241
2000-04-16,0.12,0.41,3.62,17.22,0.0209
2000-04-16,0.28,0.47,3.14,16.73,0.0226
2000-04-17,0.32,0.45,3.89,17.45,0.0192
2000-04-17,0.17,0.32,4.84,18.81,0.0165
2000-04-17,0.18,0.31,5.19,20.42,0.0135
2000-04-17,0.19,0.32,5.98,20.1,0.0121
2000-04-17,0.17,0.34,5.12,20.38,0.0131
2000-04-17,0.15,0.36,5.54,20.52,0.0117
2000-04-19,0.89,0.41,8.54,9.96,0.022
2000-04-20,0.74,2.18,2.63,4.98,0.0099
2000-04-20,0.9,0.25,5.86,8.43,0.0483
2000-04-20,0.97,0.13,5.82,9.37,0.052
2000-04-20,0.68,0.33,5.44,9.41,0.041
2000-04-20,0.58,0.24,1.19,3.78,0.1454
2000-04-20,0.52,0.3,3.09,8.45,0.0659
2000-04-24,0.22,0.38,5.08,20.68,0.0123
2000-04-24,0.65,0.48,6.97,6.86,0.034
2000-04-24,0.44,0.35,0.78,0.44,0.1782
2000-04-24,0.24,0.32,5.84,21.01,0.0114
2000-04-24,0.37,0.27,0.2,0.41,0.2079
2000-04-24,0.21,0.32,6.11,20.81,0.011
2000-04-24,0.34,0.35,0.32,2.38,0.1589
2000-04-25,0.32,0.49,0.32,1.11,0.1517
2000-04-25,0.54,0.21,0.1,1.67,0.2072
2000-04-25,0.43,0.64,0.4,0.43,0.1371
2000-04-25,0.72,0.59,1.34,0.87,0.1272
2000-04-25,0.6,0.28,0.62,0.63,0.1974
2000-04-28,0.58,1.06,3.59,1.47,0.0477
2000-04-28,0.7,0.33,1.61,0.98,0.161
2000-04-28,0.43,0.24,0.4,0.57,0.2078
2000-04-28,0.53,0.71,0.34,1.43,0.1188
2000-04-28,0.35,0.35,0.29,4.65,0.1311
2000-04-29,0.29,0.92,0.75,0.41,0.0926
2000-04-29,0.39,0.23,0.87,0.3,0.2005
2000-04-29,0.96,2.22,9.72,4.59,0.0031
2000-06-07,0.53,0.6,3.88,4.03,0.0619
2000-06-07,0.43,0.61,2.37,4.42,0.0733
2000-06-07,0.32,0.63,2.71,5.41,0.0607
2000-06-08,0.29,0.62,2.59,5.07,0.0643
2000-06-08,0.25,0.52,3.95,3.94,0.0649
2000-06-08,0.29,0.51,4.39,4.63,0.0578
2000-06-08,0.27,0.53,4.78,5.27,0.0497
2000-06-08,0.45,0.54,2.9,6.01,0.0634
2000-06-08,0.59,0.62,3.85,4.22,0.0602
2000-06-08,0.55,0.65,3.12,4.78,0.0613
2000-06-09,0.05,0.86,2.06,0.12,0.0804
2000-06-09,0.38,0.31,0.68,0.14,0.1915
2000-06-09,0.08,0.24,0.93,0.48,0.1856
2000-06-09,0.04,0.24,0.44,2.27,0.1699
2000-06-09,0.13,0.02,0.46,0.48,0.2482
2000-06-09,0.03,1.06,1.0,0.3,0.0732
2000-06-10,0.34,0.14,0.25,1.39,0.217
2000-06-10,0.11,0.19,0.76,0.76,0.1963
2000-06-10,0.55,0.68,3.67,4.29,0.0568
2000-06-10,0.59,0.66,3.67,4.08,0.0598
2000-06-10,0.5,0.64,3.66,5.66,0.0519
2000-06-10,0.31,0.55,4.45,4.55,0.0551
2000-06-10,0.37,0.63,3.73,4.37,0.0576
2000-06-10,0.31,0.55,3.63,4.22,0.0647
2000-06-11,0.11,0.13,0.24,0.43,0.2294
2000-06-11,0.46,0.03,0.72,0.19,0.2541
2000-06-11,0.08,0.11,0.42,1.27,0.213
2000-06-11,0.18,0.51,0.87,1.21,0.1331
2000-06-11,0.22,0.19,0.55,2.18,0.1825
2000-06-12,0.37,0.35,1.29,1.53,0.1497
2000-06-12,0.07,0.2,0.62,0.51,0.2009
2000-06-12,0.13,0.4,2.23,6.52,0.0752
2000-06-12,0.34,0.56,3.65,5.69,0.0556
2000-06-12,0.27,0.77,3.26,5.78,0.0448
2000-06-12,0.36,0.53,3.19,5.94,0.0608
2000-06-12,0.52,0.62,3.44,6.88,0.0491
2000-06-12,0.55,0.63,3.59,6.52,0.0493
2000-06-13,0.44,0.78,2.84,6.55,0.0452
2000-06-13,0.41,0.7,2.29,6.04,0.0569
2000-06-13,0.31,0.66,3.52,4.18,0.0579
2000-06-13,0.33,0.7,3.65,4.82,0.0509
2000-06-13,0.21,0.62,2.98,4.01,0.0661
2000-06-13,0.03,0.15,2.69,3.03,0.1272
2000-06-13,0.03,0.08,2.35,2.26,0.1544
2000-06-13,0.22,0.69,3.12,4.65,0.0559
2000-06-13,0.04,0.08,2.21,3.99,0.1357
2000-06-13,0.22,0.68,2.28,4.21,0.0674
2000-06-13,0.12,0.11,2.63,4.49,0.1195
2000-06-13,0.33,0.7,3.65,4.82,0.0509
2000-06-13,0.13,0.06,2.18,4.8,0.1316
2000-06-13,0.23,0.17,5.23,1.78,0.0985
2000-06-13,0.48,0.74,2.48,6.4,0.0514
2000-06-13,0.45,0.78,2.56,6.55,0.0474
2000-06-13,0.01,0.07,3.75,5.19,0.0977
2000-06-14,0.01,0.07,2.64,1.74,0.1562
2000-06-14,0.01,0.09,3.35,3.82,0.1148
2000-06-14,0.08,0.23,3.35,3.24,0.1041
2000-06-14,0.03,0.17,3.99,4.31,0.0912
2000-06-14,0.04,0.07,4.54,3.93,0.0978
2000-06-14,0.04,0.19,4.97,1.18,0.1026
2000-06-15,0.45,0.98,3.49,6.88,0.0308
2000-06-15,0.41,0.92,3.18,6.8,0.035
2000-06-15,0.38,0.65,3.94,6.19,0.0457
2000-06-15,0.57,0.28,0.93,6.2,0.1164
2000-06-15,0.36,0.99,3.37,6.83,0.0307
2000-06-15,0.55,0.26,0.45,5.31,0.1378
2000-06-15,0.56,0.98,3.39,6.39,0.0335
2000-06-15,0.48,0.18,0.38,2.72,0.1873
2000-06-16,0.43,0.5,0.45,2.49,0.1327
2000-06-16,0.02,0.15,1.06,3.62,0.1525
2000-06-16,0.63,0.4,0.88,1.38,0.1582
2000-06-16,0.09,0.11,1.22,1.79,0.1837
2000-06-16,0.14,0.15,0.69,2.27,0.1832
2000-06-16,0.04,0.13,1.08,1.02,0.194
2000-06-16,0.12,0.24,1.33,3.71,0.1338
2000-06-16,0.2,0.09,1.0,2.09,0.1915
2000-06-16,0.05,0.09,1.94,1.84,0.1682
2000-06-16,0.05,0.18,3.07,1.12,0.1382
2000-06-16,0.03,0.16,4.64,2.73,0.0967
2000-06-17,0.02,0.16,4.91,7.38,0.0598
2000-06-17,0.3,0.16,3.54,5.26,0.0944
2000-06-17,0.27,0.13,1.46,5.73,0.1271
2000-06-17,0.03,0.15,1.79,2.25,0.155
2000-06-19,0.15,0.21,2.88,1.8,0.1314
2000-06-19,0.15,0.25,3.82,4.69,0.0838
2000-08-01,0.04,0.22,8.92,1.31,0.0531
2000-08-01,0.08,0.18,6.4,1.62,0.0807
2000-08-01,0.14,0.23,7.14,1.46,0.0695
2000-08-01,0.07,0.18,4.27,1.35,0.114
2000-08-01,0.1,0.12,3.69,1.44,0.1324
2000-08-02,0.07,0.13,3.95,2.09,0.1184
2000-08-02,0.06,0.13,3.44,0.9,0.1415
2000-08-02,0.15,0.15,3.13,2.21,0.1307
2000-08-02,0.08,0.19,1.84,1.14,0.1633
2000-08-02,0.07,0.15,2.64,1.69,0.145
2000-08-02,0.31,0.2,1.16,12.33,0.0671
2000-08-02,0.34,0.16,1.3,10.89,0.0793
2000-08-02,0.32,0.1,0.51,10.58,0.0984
2000-08-03,0.27,0.14,0.3,12.18,0.0829
2000-08-03,0.18,0.13,0.39,13.42,0.0726
2000-08-03,0.14,0.15,4.69,2.48,0.1011
2000-08-03,0.09,0.11,0.04,3.34,0.1897
2000-08-03,0.15,0.08,0.33,12.43,0.0849
2000-08-03,0.15,0.21,2.64,1.42,0.1407
2000-08-03,0.02,0.01,1.99,4.93,0.139
2000-08-03,0.23,0.07,0.37,10.86,0.1
2000-08-03,0.16,0.11,1.96,7.97,0.0969
2000-08-03,0.29,0.05,0.25,10.93,0.1045
2000-08-03,0.05,0.07,0.07,2.91,0.2028
2000-08-03,0.31,0.12,1.45,12.85,0.0672
2000-08-03,0.3,0.12,1.11,12.72,0.0716
2000-08-04,0.07,0.12,0.77,5.07,0.1459
2000-08-04,0.11,0.04,2.07,9.51,0.089
2000-08-04,0.4,0.05,0.78,10.05,0.1065
2000-08-04,0.02,0.02,0.79,12.53,0.0824
2000-08-05,0.17,0.08,1.53,1.74,0.1846
2000-08-05,0.4,0.14,5.96,13.6,0.0301
2000-08-05,0.35,0.14,0.82,10.11,0.0941
2000-08-05,0.39,0.13,0.73,10.82,0.0909
2000-08-05,0.06,0.35,2.73,1.08,0.1206
2000-08-05,0.34,0.07,0.98,10.87,0.0927
2000-08-05,0.18,0.05,0.1,0.47,0.2541
2000-08-05,0.05,0.11,2.25,0.74,0.1731
2000-08-05,0.16,0.07,0.88,15.51,0.0591
2000-08-05,0.98,0.22,0.03,1.01,0.2317
2000-08-05,0.05,0.16,1.91,0.89,0.1698
2000-08-05,0.1,0.13,0.42,16.25,0.0544
2000-08-05,0.08,0.1,1.59,1.24,0.1845
2000-08-05,0.18,0.13,1.59,18.7,0.0361
2000-08-05,0.07,0.14,1.54,2.16,0.1645
2000-08-06,0.08,0.03,3.18,1.92,0.1504
2000-08-06,0.19,0.16,0.85,17.05,0.046
2000-08-06,0.06,0.12,2.05,2.97,0.1457
2000-08-06,0.08,0.02,0.15,3.98,0.1944
2000-08-06,0.12,0.07,1.63,2.97,0.1647
2000-08-06,0.12,0.09,0.56,16.58,0.0543
2000-08-06,0.1,0.07,1.91,3.14,0.1556
2000-08-06,0.04,0.06,0.1,4.78,0.1746
2000-08-06,0.15,0.06,0.48,18.46,0.0478
2000-08-06,0.18,0.07,1.83,1.35,0.1852
2000-08-06,0.56,0.14,5.47,8.0,0.0578
2000-08-06,0.21,0.1,0.5,15.63,0.0603
2000-08-06,0.24,0.08,0.76,15.79,0.0587
2000-08-06,0.22,0.26,0.6,15.95,0.0474
2000-08-07,0.23,0.25,0.77,15.84,0.0473
2000-08-07,0.17,0.12,1.15,2.68,0.1723
2000-08-07,0.08,0.21,3.12,5.2,0.0922
2000-08-07,0.11,1.33,5.07,6.45,0.0151
2000-08-08,0.16,0.01,0.1,4.47,0.1922
2000-08-08,0.09,2.13,3.16,6.13,0.0077
2000-08-08,0.33,0.17,0.25,16.55,0.0538
2000-08-08,0.31,0.15,0.24,16.53,0.0551
2000-08-08,0.01,0.11,0.18,6.35,0.1423
2000-08-08,0.31,0.15,0.24,16.53,0.0551
2000-08-08,0.13,1.31,4.06,5.88,0.0194
2000-08-08,0.15,0.03,0.34,18.22,0.0519
2000-08-08,0.2,0.1,0.48,18.03,0.0479
2000-08-08,0.06,0.01,0.09,5.41,0.1754
2000-08-09,0.19,0.16,0.88,17.48,0.0439
2000-08-09,0.35,0.32,0.33,3.14,0.1538
2000-08-09,0.26,0.13,0.53,17.12,0.0505
2000-08-09,0.04,1.6,3.84,5.65,0.014
2000-08-09,0.28,0.02,0.98,18.83,0.0458
2000-08-09,0.38,0.13,2.12,21.5,0.026
2000-08-09,0.35,0.14,2.12,21.44,0.0257
2000-08-10,0.35,0.08,1.18,21.4,0.0324
2000-08-10,0.33,0.06,1.16,21.44,0.033
2000-08-10,0.26,0.08,0.92,17.55,0.0484
2000-08-10,0.26,0.19,0.88,17.3,0.0436
2000-08-11,0.32,0.24,1.33,17.24,0.0388
2000-08-11,0.02,1.27,2.11,5.78,0.0278
2000-08-11,0.26,1.09,0.26,1.67,0.0722
2000-08-11,0.15,0.01,0.2,2.31,0.2254
2000-08-11,0.25,0.01,0.1,3.68,0.2076
2000-08-11,0.05,0.09,0.18,6.06,0.1501
2000-08-12,0.18,0.45,0.08,4.45,0.1198
2000-08-12,0.12,0.01,0.07,1.11,0.2505
2000-08-14,0.02,1.82,1.66,6.01,0.0146
2000-08-14,0.04,0.02,0.01,4.14,0.1944
2000-08-14,0.01,0.08,0.18,5.54,0.1577
2000-08-14,0.29,0.06,0.1,3.99,0.1933
2000-08-15,0.07,0.09,0.07,4.72,0.1714
2000-08-15,0.31,1.97,0.94,4.63,0.0164
2000-08-15,0.01,0.69,0.22,4.87,0.0832
2000-10-05,0.26,1.03,4.41,8.98,0.0196
2000-10-05,0.02,0.73,1.25,4.53,0.0699
2000-10-05,1.53,0.69,5.18,4.05,0.0532
2000-10-05,0.19,0.89,0.76,3.54,0.0704
2000-10-05,0.18,0.61,0.88,3.71,0.0945
2000-10-05,0.28,0.84,0.76,4.36,0.0701
2000-10-06,0.52,0.61,0.68,4.31,0.0973
2000-10-06,0.06,1.29,1.59,9.13,0.0213
2000-10-06,0.17,1.67,2.35,11.31,0.0095
2000-10-07,0.22,0.99,1.1,2.92,0.0631
2000-10-07,0.22,0.59,0.8,6.12,0.0788
2000-10-07,0.46,1.18,1.31,5.47,0.0393
2000-10-07,0.06,1.1,1.14,4.76,0.0447
2000-10-07,0.45,0.85,0.43,10.35,0.0422
2000-10-07,3.29,0.83,0.91,4.27,0.1132
2000-10-07,0.37,0.81,0.28,9.04,0.0509
2000-10-07,0.59,0.87,1.16,3.52,0.0724
2000-10-07,0.36,0.77,0.74,10.19,0.0443
2000-10-08,0.34,1.63,0.93,5.93,0.0223
2000-10-08,0.49,0.98,0.82,10.9,0.0322
2000-10-08,0.39,0.72,0.03,10.5,0.0515
2000-10-08,0.39,1.65,5.91,13.71,0.0044
2000-10-08,0.38,0.73,0.09,14.26,0.0348
2000-10-08,0.37,0.68,0.16,14.87,0.0345
2000-10-08,0.58,0.83,1.63,14.2,0.0249
2000-10-08,0.55,0.54,0.33,10.74,0.0613
2000-10-09,0.38,0.73,0.86,9.52,0.0489
2000-10-09,0.43,0.87,0.57,9.83,0.0422
2000-10-10,0.44,0.61,0.25,9.11,0.0655
2000-10-10,0.43,0.64,0.23,9.05,0.0636
2000-10-10,0.39,0.81,0.14,8.1,0.0571
2000-10-10,0.7,0.86,1.04,4.29,0.0707
2000-10-10,0.57,0.67,0.71,5.38,0.0824
2000-10-10,0.52,0.81,0.35,12.88,0.0355
2000-10-10,0.29,0.71,0.63,11.27,0.0432
2000-10-10,0.22,1.57,0.88,5.75,0.0242
2000-10-10,0.48,1.18,1.25,6.91,0.0346
2000-10-10,0.22,0.76,0.24,11.03,0.0438
2000-10-11,0.29,0.89,1.12,7.59,0.0458
2000-10-11,0.31,2.0,1.24,8.89,0.0098
2000-10-11,0.28,0.77,0.22,10.62,0.0456
2000-10-11,0.27,0.52,0.04,9.67,0.0695
2000-10-11,0.32,1.07,1.17,7.62,0.0364
2000-10-11,0.28,0.54,0.16,11.23,0.0575
2000-10-11,0.49,0.68,0.74,7.34,0.0665
2000-10-11,0.48,0.65,0.77,7.76,0.0658
2000-10-14,0.07,0.77,0.33,7.89,0.0563
2000-10-14,0.06,0.74,0.37,7.19,0.062
2000-10-16,0.04,0.88,0.19,7.8,0.0505
2000-10-16,0.05,0.84,1.84,9.52,0.0345
2000-10-16,0.05,0.66,0.52,9.26,0.0546
2000-10-17,0.06,0.65,0.44,9.03,0.0573
2000-10-17,0.11,0.54,0.54,8.28,0.0698
2000-10-17,0.09,0.64,0.68,8.87,0.057
2000-10-17,0.06,0.66,0.65,8.06,0.0601
2000-10-17,0.08,0.76,0.37,7.89,0.0567
2000-10-17,0.09,0.71,0.34,7.26,0.0644
2000-10-17,0.11,0.3,5.0,2.94,0.0771
2000-10-17,0.03,0.68,0.35,7.94,0.0619
2000-10-17,0.14,0.06,1.74,4.64,0.1424
2000-10-17,0.12,0.08,1.72,5.22,0.1323
2000-10-17,0.08,0.77,0.28,7.46,0.0592
2000-10-17,0.12,0.13,5.36,5.24,0.072
2000-10-17,0.12,0.47,4.02,6.17,0.0539
2000-10-17,0.04,0.85,0.44,9.53,0.0426
2000-10-17,0.12,0.24,4.41,2.08,0.0982
2000-10-18,0.06,0.05,1.85,3.24,0.1581
2000-10-18,0.08,0.35,2.58,4.16,0.0935
2000-10-18,0.04,0.1,3.74,3.8,0.1078
2000-10-20,0.25,0.27,5.45,5.53,0.0596
2000-10-20,0.23,0.22,4.47,5.86,0.0713
2000-10-20,0.09,0.21,1.51,7.1,0.0989
2000-10-20,0.12,0.18,1.25,3.86,0.1428
2000-10-22,0.11,0.27,3.26,6.05,0.078
2000-10-28,0.15,0.24,2.99,4.57,0.0973
2000-10-28,0.12,0.18,3.5,4.05,0.1008
2000-10-28,0.11,0.17,2.22,4.61,0.1171
2000-10-29,0.11,0.25,1.84,4.62,0.113
2000-10-29,0.11,0.19,1.57,4.0,0.133
2000-10-29,0.11,0.56,1.68,5.93,0.0713
2000-10-29,0.1,0.26,1.78,9.09,0.0744
2000-10-29,0.12,0.13,2.09,9.75,0.0781
2000-10-29,0.11,0.22,3.09,6.54,0.0812
2000-10-29,0.1,0.24,3.36,6.72,0.0746
2000-10-29,0.07,0.24,2.66,6.1,0.0877
2000-10-30,0.19,0.28,8.34,11.92,0.0195
2000-10-30,0.36,0.49,9.77,10.73,0.0137
2000-10-30,0.17,0.46,3.08,5.14,0.0704
2000-10-30,0.22,0.31,4.09,3.77,0.0825
2000-11-12,0.11,0.13,0.74,3.71,0.1639
2000-11-12,0.53,0.84,4.74,5.36,0.0353
2000-11-12,0.43,0.14,1.71,6.8,0.1128
2000-11-12,0.43,0.02,2.26,6.29,0.1248
2000-11-13,0.43,0.44,9.27,10.0,0.0173
2000-11-13,0.27,0.83,8.76,12.48,0.0087
2000-11-13,0.69,0.11,10.38,14.74,0.0143
2000-11-13,0.32,0.32,14.75,21.24,0.0026
2000-11-13,0.16,0.48,11.46,18.04,0.0049
2000-11-13,0.64,0.49,7.73,13.92,0.0146
2000-11-13,0.16,0.31,6.65,13.71,0.0206
2000-11-13,0.48,0.79,1.33,6.39,0.058
2000-11-14,0.38,0.23,1.56,6.19,0.1091
2000-11-14,0.43,0.22,0.81,4.43,0.145
2000-11-14,0.27,0.36,1.03,5.16,0.1097
2000-11-14,0.43,0.87,3.05,9.69,0.0287
2000-11-14,0.43,0.6,3.32,10.93,0.034
2000-11-14,0.85,0.23,8.26,18.35,0.0124
2000-12-02,0.36,1.3,3.25,4.02,0.028
2000-12-02,0.28,2.14,1.16,3.44,0.0143
2000-12-02,0.28,3.88,0.36,7.01,0.0012
2000-12-03,0.81,3.74,0.49,2.33,0.0025
2000-12-03,0.28,2.7,5.29,8.49,0.0021
2000-12-03,0.48,2.67,5.27,5.7,0.003
2000-12-06,0.09,0.22,13.79,10.42,0.0098
2000-12-06,0.38,0.35,3.66,21.98,0.0146
2000-12-06,0.04,0.06,6.58,7.82,0.0499
2000-12-06,0.23,0.32,3.12,21.42,0.017
2000-12-06,0.02,0.07,5.02,4.95,0.0824
2000-12-06,0.25,0.51,1.97,17.19,0.0248
2000-12-06,0.01,0.08,4.02,3.55,0.1077
2000-12-06,0.17,0.08,4.41,15.69,0.0327
